cue,response,human1,human2,frequency,n
accumulation,collecting,I,I-cont,20,30
accumulation,over time,S,S-time,15,30
accumulation,of snow,T,T-sub,13,30
accumulation,build up,T,T-syn,10,30
accumulation,hoarding,I,I-cont,10,30
accumulation,too much,I,I-cont,9,30
accumulation,gathering of things,T,T-syn,8,30
accumulation,pile,I,I-cont,8,30
accumulation,things,T,T-sub,8,30
accumulation,adding,I,I-cont,8,30
accumulation,grouping,I,I-cont,6,30
accumulation,data,T,T-sub,6,30
accumulation,quantity,I,I-cont,6,30
accumulation,money,T,T-sub,5,30
accumulation,objects,T,T-sub,5,30
accumulation,junk,T,T-sub,5,30
air,breathing,S,S-fun,27,30
air,oxygen,E,E-comp,22,30
air,life,I,I-cont,18,30
air,wind,T,T-sub,18,30
air,fresh,E,E-perc,18,30
air,clean,E,E-perc,10,30
air,lung,S,S-obj,8,30
air,trees,S,S-obj,7,30
air,pollution,S,S-obj,7,30
air,earth,S,S-loc,7,30
air,rain,S,S-obj,7,30
air,atmosphere,T,T-syn,6,30
air,sky,S,S-loc,5,30
air,gas,T,T-sup,5,30
air,purity,E,E-perc,5,30
air,nature,E,E-whol,5,30
airline,company,T,T-sup,27,30
airline,airplanes,E,E-comp,19,30
airline,airport,S,S-loc,16,30
airline,planes,E,E-comp,10,30
airline,Delta,T,T-sub,7,30
airline,Lufthansa,T,T-sub,6,30
airline,American,T,T-sub,6,30
airline,flying,S,S-act,6,30
airplane,travel,S,S-fun,21,30
airplane,pilot,S,S-par,18,30
airplane,fast,E,E-sys,11,30
airplane,wings,E,E-comp,10,30
airplane,transportation,S,S-fun,9,30
airplane,engine,E,E-comp,9,30
airplane,flight,E,E-beh,8,30
airplane,flying,E,E-beh,8,30
airplane,airport,S,S-loc,7,30
airplane,uncomfortable seats,I,I-eval,6,30
airplane,vacation,S,S-time,6,30
airplane,large,E,E-perc,6,30
airplane,sky,S,S-loc,5,30
alcohol,wine,T,T-sub,22,30
alcohol,beer,T,T-sub,17,30
alcohol,drinking,S,S-act,15,30
alcohol,drunk,I,I-cont,10,30
alcohol,party,S,S-time,6,30
alcohol,dinner,S,S-time,6,30
alcohol,fun,I,I-eval,5,30
alcohol,alcoholism,I,I-cont,5,30
alcohol,negative,I,I-eval,5,30
America,home,I,I-cont,18,30
America,red white and blue,S,S-other,15,30
America,flag,S,S-obj,13,30
America,freedom,I,I-cont,13,30
America,country,T,T-sup,10,30
America,large,E,E-perc,10,30
America,eagle,S,S-obj,10,30
America,diversity,I,I-cont,8,30
America,patriotism,I,I-cont,8,30
America,native american,S,S-par,8,30
America,united states,T,T-syn,8,30
America,land,T,T-sup,7,30
America,democracy,I,I-cont,5,30
America,nationality,T,T-sup,5,30
America,president,S,S-par,5,30
America,obama,S,S-par,5,30
America,usa,T,T-syn,5,30
America,stars and stripes,S,S-other,5,30
animal,nature,E,E-whol,18,30
animal,pet,T,T-sub,15,30
animal,friend,I,I-cont,14,30
animal,dog,T,T-sub,14,30
animal,lion,T,T-sub,11,30
animal,cat,T,T-sub,9,30
animal,zoo,S,S-loc,9,30
animal,wild,E,E-sys,9,30
animal,mammal,T,T-sub,5,30
appearance,look,T,T-syn,14,30
appearance,important,I,I-eval,12,30
appearance,clothes,S,S-obj,12,30
appearance,seeing,S,S-act,12,30
appearance,face,S,S-obj,9,30
appearance,makeup,S,S-obj,9,30
appearance,beauty,T,T-sub,7,30
appearance,perception,I,I-cont,6,30
appearance,public,S,S-loc,5,30
appearance,ugly,I,I-eval,5,30
appearance,clean,I,I-eval,5,30
appearance,mirror,S,S-obj,5,30
appearance,style,T,T-syn,5,30
army,war,S,S-time,23,30
army,protection,S,S-fun,16,30
army,gun,S,S-obj,15,30
army,fighting,E,E-beh,15,30
army,camouflage,E,E-perc,13,30
army,military,T,T-sup,11,30
army,safety,I,I-cont,10,30
army,training,S,S-act,10,30
army,men,E,E-comp,8,30
army,group of people,T,T-sup,8,30
army,uniform,E,E-comp,8,30
army,bombs,S,S-obj,8,30
army,soldiers,E,E-comp,8,30
army,navy,T,T-coor,7,30
army,green,E,E-perc,6,30
army,air force,T,T-coor,5,30
aspect,part,T,T-syn,13,30
aspect,facet,T,T-syn,10,30
aspect,detail,T,T-sub,7,30
aspect,perspective,T,T-syn,7,30
attention,focus,I,I-cont,15,30
attention,looking,S,S-act,14,30
attention,listening,S,S-act,10,30
attention,awareness,I,I-cont,10,30
attention,detail,S,S-obj,7,30
attention,alert,I,I-cont,5,30
attitude,negative,I,I-eval,17,30
attitude,feeling,I,I-cont,11,30
attitude,changes,E,E-beh,10,30
attitude,expression,T,T-sup,8,30
attitude,thoughts,I,I-cont,8,30
attitude,fight,S,S-act,8,30
attitude,emotion,I,I-cont,5,30
attitude,good,I,I-eval,5,30
attitude,bad,I,I-eval,5,30
attitude,reaction,T,T-syn,5,30
attitude,mood,T,T-syn,5,30
attitude,behavior,T,T-sup,5,30
attitude,grumpy,T,T-sub,5,30
attitude,approach,T,T-sup,5,30
attitude,outlook,T,T-syn,5,30
bank,money,E,E-comp,29,30
bank,credit card,E,E-comp,18,30
bank,safety,I,I-cont,13,30
bank,savings,E,E-comp,13,30
bank,account,E,E-comp,13,30
bank,robbery,S,S-act,10,30
bank,checks,E,E-comp,10,30
bank,atm,E,E-comp,8,30
bank,river,T,T-sub,7,30
bank,trust,I,I-cont,5,30
bank,debt,I,I-cont,5,30
bank,loans,S,S-obj,5,30
bank,bills,E,E-comp,5,30
bank,wall street,T,T-sub,5,30
bank,corruption,I,I-cont,5,30
bank,rich,E,E-sys,5,30
barcode,scan,S,S-act,28,30
barcode,store,S,S-loc,16,30
barcode,price,S,S-fun,16,30
barcode,black,E,E-perc,13,30
barcode,white,E,E-perc,12,30
barcode,code,T,T-sup,11,30
barcode,identification,S,S-fun,9,30
barcode,lines,E,E-comp,9,30
barcode,numbers,E,E-comp,7,30
barcode,consumerism,I,I-cont,7,30
barcode,shopping,S,S-act,7,30
barcode,groceries,S,S-obj,7,30
barcode,trackable,E,E-sys,6,30
barcode,digital,E,E-sys,5,30
barcode,bars,E,E-comp,5,30
barcode,technology,T,T-sup,5,30
barcode,information,E,E-comp,5,30
beggar,poor,E,E-sys,23,30
beggar,dirty,E,E-perc,19,30
beggar,in need,E,E-sys,18,30
beggar,hungry,E,E-sys,13,30
beggar,sad,I,I-eval,10,30
beggar,homeless,E,E-sys,10,30
beggar,asking money,E,E-beh,8,30
beggar,clothes,E,E-perc,8,30
beggar,street,S,S-loc,7,30
beggar,many,I,I-cont,6,30
beggar,alone,E,E-sys,5,30
beggar,poverty,E,E-sys,5,30
beggar,gypsy,T,T-sub,5,30
body,skin,E,E-comp,21,30
body,self,I,I-cont,14,30
body,muscles,E,E-comp,9,30
body,human form,T,T-syn,8,30
body,fat,E,E-sys,7,30
body,movement,S,S-fun,7,30
body,head,E,E-comp,7,30
body,of work,T,T-sub,6,30
body,soft,E,E-sys,5,30
body,physical,E,E-sys,5,30
body,blood,E,E-comp,5,30
body,shape,E,E-perc,5,30
body,bones,E,E-comp,5,30
body,health,I,I-cont,5,30
bomb,explosive,E,E-sys,20,30
bomb,war,S,S-time,15,30
bomb,weapon,T,T-sup,15,30
bomb,terrorism,S,S-fun,13,30
bomb,death,S,S-fun,13,30
bomb,destructive,E,E-sys,11,30
bomb,threat,T,T-sup,11,30
bomb,hiroshima,S,S-time,10,30
bomb,atomic,E,E-sys,9,30
bomb,dangerous,I,I-eval,8,30
bomb,killing,S,S-fun,8,30
bomb,loud,E,E-sys,7,30
bomb,bad,I,I-eval,7,30
bomb,burning,I,I-cont,5,30
bomb,scary,I,I-eval,5,30
bomb,army,S,S-par,5,30
book,pages,E,E-comp,23,30
book,reading,S,S-fun,16,30
book,hard,E,E-perc,13,30
book,words,E,E-comp,12,30
book,paper,E,E-comp,11,30
book,information,E,E-comp,10,30
book,cover,E,E-comp,9,30
book,knowledge,I,I-cont,7,30
book,soft,E,E-comp,7,30
book,author,I,I-cont,6,30
book,learning,S,S-fun,6,30
book,library,S,S-loc,5,30
book,story,E,E-comp,5,30
bottle,water,S,S-obj,29,30
bottle,glass,E,E-comp,26,30
bottle,holds liquids,S,S-fun,25,30
bottle,beer,E,E-comp,16,30
bottle,wine,E,E-comp,14,30
bottle,plastic,E,E-comp,12,30
bottle,container,T,T-sup,11,30
bottle,lid,E,E-comp,9,30
bottle,alcoholism,I,I-cont,6,30
brain,thinking,S,S-fun,20,30
brain,smart,I,I-cont,15,30
brain,neurons,E,E-comp,13,30
brain,pink,E,E-perc,10,30
brain,knowledge,I,I-cont,10,30
brain,head,S,S-loc,8,30
brain,lobes,E,E-comp,8,30
brain,connections,E,E-comp,7,30
brain,control center,S,S-fun,6,30
brain,squishy,E,E-perc,6,30
brain,wrinkly,E,E-perc,6,30
brain,mind,T,T-coor,6,30
brain,memory,I,I-cont,5,30
brain,intelligence,I,I-cont,5,30
brain,complicated,E,E-sys,5,30
brain,spongey,E,E-perc,5,30
bread,white,E,E-perc,21,30
bread,sandwich,I,I-cont,19,30
bread,brown,E,E-perc,18,30
bread,butter,T,T-coor,16,30
bread,loaf,T,T-sub,16,30
bread,food,T,T-sup,14,30
bread,slices,I,I-cont,11,30
bread,wheat,E,E-comp,10,30
bread,toast,I,I-cont,7,30
bread,yeast,E,E-comp,6,30
brightness,light,I,I-cont,30,30
brightness,sun,I,I-cont,19,30
brightness,warmth,I,I-cont,16,30
brightness,eyes,S,S-obj,14,30
brightness,summer,S,S-time,11,30
brightness,sunglasses,S,S-obj,8,30
brightness,white,S,S-other,7,30
brightness,blinding,E,E-sys,7,30
brightness,squinting,S,S-act,6,30
brightness,happiness,I,I-eval,5,30
brightness,outside,S,S-loc,5,30
brightness,windows,S,S-obj,5,30
brightness,sunshine,S,S-obj,5,30
brightness,morning,S,S-time,5,30
brightness,darkness,T,T-ant,5,30
building,tall,E,E-perc,18,30
building,windows,E,E-comp,16,30
building,bricks,E,E-comp,16,30
building,doors,E,E-comp,14,30
building,structure,T,T-sup,13,30
building,walls,E,E-comp,13,30
building,office,S,S-fun,12,30
building,cement,E,E-comp,11,30
building,roof,E,E-comp,10,30
building,rooms,E,E-comp,8,30
building,architecture,T,T-sup,6,30
building,city,S,S-loc,6,30
bulldozer,destruction,S,S-fun,25,30
bulldozer,construction,S,S-fun,19,30
bulldozer,work,S,S-fun,19,30
bulldozer,building,S,S-obj,19,30
bulldozer,dirt,S,S-obj,16,30
bulldozer,yellow,E,E-perc,11,30
bulldozer,machine,T,T-sup,11,30
bulldozer,tear down,S,S-fun,8,30
bulldozer,used to flatten,S,S-fun,8,30
bulldozer,loud,E,E-sys,5,30
bulldozer,strong,E,E-sys,5,30
bulldozer,driver,S,S-par,5,30
bulldozer,large,E,E-perc,5,30
bulldozer,demolish,S,S-fun,5,30
bullet,gun,S,S-obj,30,30
bullet,killing,S,S-fun,25,30
bullet,war,S,S-time,22,30
bullet,metal,E,E-comp,20,30
bullet,pain,I,I-cont,16,30
bullet,fast,E,E-sys,15,30
bullet,violence,I,I-cont,15,30
bullet,shooting,S,S-act,15,30
bullet,police,S,S-par,12,30
bullet,dangerous,I,I-eval,11,30
bullet,death,I,I-cont,8,30
bullet,pointed end,E,E-comp,8,30
bullet,small,E,E-sys,7,30
canvas,painting,S,S-act,28,30
canvas,material,E,E-comp,13,30
canvas,fabric,E,E-comp,12,30
canvas,creativity,I,I-cont,11,30
canvas,blank,E,E-perc,11,30
canvas,stretched,E,E-perc,9,30
canvas,tent,I,I-cont,9,30
canvas,oil,S,S-obj,9,30
canvas,art,I,I-cont,8,30
canvas,brushes,S,S-obj,7,30
canvas,colors,S,S-obj,6,30
canvas,rough,E,E-perc,6,30
car,transportation,S,S-fun,24,30
car,fast,E,E-sys,19,30
car,travel,S,S-fun,17,30
car,wheels,E,E-comp,14,30
car,driving,S,S-act,14,30
car,engine,E,E-comp,13,30
car,expensive,E,E-sys,10,30
car,driver,S,S-par,9,30
car,doors,E,E-comp,7,30
car,windows,E,E-comp,5,30
car,gasoline,I,I-cont,5,30
carpet,rug,T,T-syn,24,30
carpet,dirty,E,E-perc,20,30
carpet,floor,S,S-loc,15,30
carpet,cozy,I,I-eval,14,30
carpet,covers floors,S,S-fun,12,30
carpet,house,S,S-loc,12,30
carpet,dusty,E,E-perc,10,30
carpet,vacuum cleaner,S,S-obj,9,30
carpet,scratchy,E,E-perc,8,30
carpet,warmth,S,S-fun,8,30
carpet,soft,E,E-perc,7,30
carpet,fuzzy,E,E-perc,5,30
cart,food,S,S-obj,22,30
cart,carries items,S,S-fun,18,30
cart,metal,E,E-comp,18,30
cart,bars,E,E-comp,18,30
cart,grocery store,S,S-loc,17,30
cart,shopping,S,S-fun,15,30
cart,pushing,S,S-act,14,30
cart,supermarket,S,S-loc,13,30
center,between,T,T-syn,18,30
center,half way,T,T-syn,13,30
center,middle,T,T-syn,13,30
center,median,T,T-sub,10,30
center,city,T,T-sub,8,30
center,medium,T,T-syn,8,30
center,mean,T,T-sub,5,30
center,not the end,I,I-cont,5,30
cigarette,smell,E,E-perc,25,30
cigarette,bad,I,I-eval,23,30
cigarette,cancer,I,I-cont,19,30
cigarette,tobacco,E,E-comp,18,30
cigarette,smoke,S,S-act,17,30
cigarette,unhealthy,I,I-eval,14,30
cigarette,addiction,I,I-cont,9,30
cigarette,lungs,S,S-obj,8,30
cigarette,expensive,E,E-sys,8,30
cigarette,lighter,S,S-obj,7,30
cigarette,deadly,E,E-sys,6,30
cigarette,nicotine,E,E-comp,6,30
cigarette,filter,E,E-comp,5,30
cigarette,long,E,E-perc,5,30
clock,time,S,S-fun,27,30
clock,watch,T,T-syn,23,30
clock,hours,E,E-comp,21,30
clock,minutes,E,E-comp,20,30
clock,seconds,E,E-comp,20,30
clock,tick tock,E,E-perc,18,30
clock,numbers,E,E-perc,12,30
clock,round,E,E-perc,8,30
clock,wall,S,S-loc,8,30
clock,old,E,E-sys,7,30
clock,alarm,T,T-syn,7,30
clock,hands,E,E-comp,6,30
cloth,cotton,E,E-comp,20,30
cloth,sewing,S,S-act,18,30
cloth,clothes,S,S-fun,15,30
cloth,silk,E,E-comp,13,30
cloth,pattern,E,E-perc,10,30
cloth,blanket,T,T-sub,8,30
cloth,material,E,E-comp,8,30
cloth,rough,E,E-perc,5,30
cloth,soft,E,E-perc,5,30
cloth,wash,S,S-act,5,30
cloth,warmth,S,S-fun,5,30
coffee,caffeine,E,E-comp,24,30
coffee,morning,S,S-time,19,30
coffee,milk,S,S-obj,16,30
coffee,sugar,S,S-obj,15,30
coffee,black,E,E-perc,14,30
coffee,cream,S,S-obj,13,30
coffee,beans,E,E-comp,10,30
coffee,espresso,T,T-sub,9,30
coffee,starbucks,S,S-loc,9,30
coffee,energy,I,I-cont,8,30
coffee,hot,E,E-perc,8,30
coffee,tired,I,I-cont,5,30
coke,soda,T,T-sup,18,30
coke,fizzy,E,E-sys,13,30
coke,addiction,I,I-cont,13,30
coke,brown,E,E-perc,13,30
coke,unhealthy,E,E-sys,12,30
coke,sugar,E,E-comp,10,30
coke,coca cola,T,T-syn,10,30
coke,can,S,S-loc,9,30
coke,red,S,S-other,9,30
coke,white,S,S-other,9,30
coke,drinking,S,S-act,8,30
coke,bottle,S,S-loc,8,30
coke,carbonated,E,E-sys,6,30
coke,sweet,E,E-sys,5,30
coke,corporation,I,I-cont,5,30
condition,state of being,T,T-syn,25,30
condition,based on something,I,I-cont,10,30
condition,illness,T,T-sub,8,30
condition,shape,T,T-syn,8,30
condition,testable,E,E-sys,5,30
condition,situation,T,T-syn,5,30
condition,mind,T,T-sub,5,30
consequence,result,T,T-syn,21,30
consequence,effect,T,T-syn,18,30
consequence,outcome,T,T-syn,12,30
consequence,negative,I,I-eval,7,30
consideration,thinking,I,I-cont,23,30
consideration,feeling,I,I-cont,15,30
consideration,decision,I,I-cont,13,30
consideration,option,I,I-cont,10,30
consideration,thoughts,T,T-sup,10,30
consideration,idea,I,I-cont,6,30
consideration,different perspective,I,I-cont,5,30
consideration,respect,S,S-act,5,30
consideration,thoughtfulness,I,I-cont,5,30
consideration,choice,I,I-cont,5,30
constraint,holding back,S,S-fun,18,30
constraint,discomfort,I,I-cont,15,30
constraint,restrictive,E,E-sys,13,30
constraint,obstacle,I,I-cont,10,30
constraint,mental,E,E-sys,10,30
constraint,limitation,T,T-syn,8,30
constraint,physical,E,E-sys,8,30
constraint,hindrance,T,T-syn,5,30
constraint,no freedom,I,I-cont,5,30
constraint,stop,S,S-fun,5,30
constraint,unable to move,I,I-cont,5,30
constraint,difficult,E,E-sys,5,30
country,nation,T,T-syn,18,30
country,home,T,T-syn,15,30
country,flag,S,S-obj,14,30
country,borders,E,E-comp,12,30
country,culture,I,I-cont,11,30
country,patriotism,I,I-cont,9,30
country,state,T,T-syn,9,30
country,land,E,E-whol,8,30
country,government,E,E-comp,7,30
country,place,E,E-whol,7,30
country,pride,I,I-cont,7,30
country,map,E,E-whol,5,30
country,war,S,S-time,5,30
country,anthem,E,E-comp,5,30
country,immigration,S,S-act,5,30
country,emigration,S,S-act,5,30
country,people,S,S-par,5,30
cream (face),white,E,E-perc,28,30
cream (face),moisturizing,E,E-sys,26,30
cream (face),anti age,E,E-sys,16,30
cream (face),acne,T,T-sub,15,30
cream (face),woman,S,S-par,12,30
cream (face),no wrinkles,S,S-fun,8,30
cream (face),soft,E,E-perc,6,30
cream (face),sunscreen,T,T-sub,6,30
crocodile,teeth,E,E-comp,19,30
crocodile,animal,T,T-sup,18,30
crocodile,dangerous,E,E-sys,18,30
crocodile,ferocious,E,E-sys,16,30
crocodile,reptile,T,T-sup,15,30
crocodile,green,E,E-perc,15,30
crocodile,swamp,S,S-loc,14,30
crocodile,jaws,E,E-comp,13,30
crocodile,south,S,S-loc,9,30
crocodile,long,E,E-perc,9,30
crocodile,swims,E,E-beh,8,30
crocodile,cries,E,E-beh,6,30
crocodile,large,E,E-perc,6,30
cup,glass,E,E-comp,25,30
cup,drinking,S,S-act,22,30
cup,plastic,E,E-comp,19,30
cup,holds liquids,S,S-fun,15,30
cup,thirst,I,I-cont,15,30
cup,baking,S,S-act,12,30
cup,coffee,T,T-sub,11,30
cup,for measuring,S,S-fun,11,30
cup,mug,T,T-syn,11,30
cup,tea,T,T-sub,8,30
cup,handle,E,E-comp,8,30
cup,container,T,T-sup,8,30
cup,bowl,S,S-obj,8,30
cup,porcelain,E,E-comp,7,30
cup,ceramic,E,E-comp,7,30
cup,red,E,E-perc,5,30
dandelion,flower,T,T-sup,28,30
dandelion,pretty,I,I-eval,17,30
dandelion,yellow,E,E-perc,16,30
dandelion,blow,S,S-act,16,30
dandelion,weed,T,T-sup,15,30
dandelion,fluffy,E,E-perc,14,30
dandelion,white,E,E-perc,13,30
dandelion,summer,S,S-time,12,30
dandelion,seeds,E,E-comp,12,30
dandelion,petals,E,E-comp,10,30
dandelion,stem,E,E-comp,9,30
dandelion,happy,I,I-emo,7,30
dandelion,allergy,I,I-cont,6,30
decision,hard,I,I-eval,19,30
decision,choice,T,T-syn,18,30
decision,difficult,I,I-eval,12,30
decision,thought,T,T-sup,11,30
decision,changes,E,E-beh,9,30
decision,bad,I,I-eval,8,30
decision,agreement,T,T-sub,7,30
decision,good,I,I-eval,6,30
decision,determination,I,I-cont,6,30
decision,conclusion,T,T-syn,5,30
decision,consequences,I,I-cont,5,30
destination,arrive,S,S-act,15,30
destination,reach,S,S-act,15,30
destination,end,T,T-sub,13,30
destination,trip,S,S-time,11,30
destination,traveling,S,S-act,6,30
discipline_(topic),topic,T,T-syn,15,30
discipline_(topic),study,S,S-act,14,30
discipline_(topic),specialization,T,T-syn,13,30
discipline_(topic),training,I,I-cont,12,30
discipline_(topic),science,T,T-sub,10,30
discipline_(topic),school,S,S-loc,10,30
discipline_(topic),work,S,S-act,7,30
discussion,talking,I,I-cont,23,30
discussion,opinion,I,I-cont,22,30
discussion,idea,I,I-cont,14,30
discussion,argument,I,I-cont,8,30
discussion,debate,T,T-syn,8,30
discussion,understanding,I,I-cont,7,30
discussion,perspectives,I,I-cont,5,30
discussion,topic,I,I-cont,5,30
discussion,knowledge,I,I-cont,5,30
dollar,money,T,T-sup,30,30
dollar,green,E,E-perc,22,30
dollar,bills,T,T-sup,13,30
dollar,wallet,S,S-loc,10,30
dollar,george washington,E,E-perc,8,30
dollar,bank,S,S-loc,6,30
dollar,cash,T,T-sup,6,30
dollar,economy,E,E-whol,8,30
dollar,coins,S,S-obj,8,30
dollar,pay,S,S-fun,5,30
dollar,currency,T,T-sup,5,30
dollar,earn,S,S-act,5,30
dollar,spend,S,S-act,5,30
dolphin,smart,E,E-sys,23,30
dolphin,intelligent,E,E-sys,23,30
dolphin,swims,E,E-beh,22,30
dolphin,mammal,T,T-sup,16,30
dolphin,animal,T,T-sup,15,30
dolphin,grey,E,E-perc,11,30
dolphin,ocean,S,S-loc,11,30
dolphin,makes noise,E,E-beh,9,30
dolphin,fast,E,E-sys,9,30
dolphin,cute,I,I-eval,7,30
dolphin,friendly,I,I-eval,7,30
dolphin,sleek,E,E-sys,7,30
door,open,S,S-act,29,30
door,wooden,E,E-comp,26,30
door,close,S,S-act,22,30
door,knob,E,E-comp,21,30
door,opportunity,I,I-cont,17,30
door,push,S,S-act,13,30
door,lock,S,S-act,9,30
door,handle,E,E-comp,9,30
door,pull,S,S-act,7,30
door,brown,E,E-perc,7,30
doorway,open,E,E-sys,18,30
doorway,opportunity,I,I-cont,13,30
doorway,going out,S,S-fun,11,30
doorway,light,I,I-cont,8,30
doorway,door,S,S-obj,5,30
dove,bird,T,T-sup,29,30
dove,white,E,E-perc,27,30
dove,flying,E,E-beh,26,30
dove,pure,I,I-eval,22,30
dove,peace,I,I-cont,21,30
dove,wedding,S,S-time,14,30
dove,nest,S,S-obj,10,30
dove,love,I,I-cont,9,30
dove,wings,E,E-comp,7,30
dove,pretty,I,I-eval,6,30
dove,noah's ark,S,S-loc,6,30
dove,feathers,E,E-comp,6,30
drain,water,S,S-obj,30,30
drain,sink,E,E-whol,23,30
drain,clogged,E,E-sys,15,30
drain,shower,E,E-whol,12,30
drain,hole,T,T-sup,9,30
drain,expelling,S,S-fun,8,30
drain,hair,S,S-obj,6,30
drain,lack of energy,T,T-syn,6,30
drain,bath thub,E,E-whol,5,30
drawing,pencil,I,I-cont,23,30
drawing,art,E,E-whol,20,30
drawing,sketching,T,T-sub,13,30
drawing,doodling,T,T-sub,13,30
drawing,artist,S,S-par,10,30
drawing,child,S,S-par,10,30
drawing,creativity,E,E-whol,10,30
drawing,coloring,S,S-act,9,30
drawing,painting,S,S-act,8,30
drawing,paper,I,I-cont,6,30
drawing,contour,S,S-obj,5,30
drawing,displaying,S,S-fun,5,30
drawing,crayon,I,I-cont,5,30
economy,money,S,S-obj,26,30
economy,bank,S,S-obj,26,30
economy,capitalism,I,I-cont,20,30
economy,crisis,I,I-cont,19,30
economy,finance,T,T-coor,15,30
economy,politics,T,T-coor,7,30
economy,globalization,S,S-time,7,30
economy,depression,S,S-time,5,30
egg,protein,T,T-sup,29,30
egg,white,E,E-perc,28,30
egg,yolk,E,E-comp,28,30
egg,yellow,E,E-perc,28,30
egg,fried,E,E-perc,26,30
egg,hard boiled,E,E-perc,23,30
egg,tasty,I,I-eval,18,30
egg,breakfast,S,S-time,15,30
egg,runny,E,E-perc,15,30
egg,soft boiled,E,E-perc,15,30
egg,cooking,S,S-act,13,30
egg,it breaks,E,E-sys,8,30
egg,baking,S,S-act,8,30
egg,omelette,I,I-cont,5,30
