cue,response,human1,human2,frequency,n
elephant,big ears,E,E-comp,28,30
elephant,grey,E,E-perc,27,30
elephant,africa,S,S-loc,25,30
elephant,large,E,E-sys,25,30
elephant,animal,T,T-sup,22,30
elephant,tusks,E,E-comp,20,30
elephant,loud,E,E-perc,16,30
elephant,trunk,E,E-comp,15,30
elephant,kind,I,I-eval,13,30
elephant,smart,E,E-sys,12,30
elephant,circus,S,S-loc,9,30
elephant,republican party,I,I-cont,8,30
elephant,memory,E,E-sys,6,30
elephant,zoo,S,S-loc,5,30
emotion,feeling,T,T-sup,27,30
emotion,sadness,T,T-sub,19,30
emotion,happiness,T,T-sub,14,30
emotion,crying,S,S-act,11,30
emotion,expression,T,T-sup,9,30
emotion,mood,I,I-cont,8,30
emotion,love,T,T-sub,6,30
emotion,hate,T,T-sub,6,30
emotion,strong,E,E-sys,6,30
emotion,human,E,E-sys,5,30
emotion,fear,T,T-sub,5,30
emotion,anger,T,T-sub,5,30
emotion,enthusiasm,T,T-sub,5,30
end,finish,T,T-syn,25,30
end,new beginning,I,I-cont,16,30
end,death,T,T-syn,11,30
end,done,T,T-syn,6,30
end,completion,T,T-syn,5,30
end,over,T,T-syn,5,30
end,definitive,E,E-sys,5,30
end,no more,I,I-cont,5,30
equipment,tools,T,T-sub,23,30
equipment,sport,T,T-sub,17,30
equipment,technology,T,T-sub,13,30
equipment,job,T,T-sub,10,30
equipment,gear,T,T-sub,10,30
equipment,machine,T,T-sub,10,30
equipment,prepared,S,S-fun,10,30
equipment,necessary,E,E-sys,7,30
equipment,tractor,T,T-sub,7,30
explanation,detail,E,E-comp,12,30
explanation,understanding,S,S-fun,12,30
explanation,instructions,T,T-sub,9,30
explanation,helpful,E,E-sys,9,30
explanation,words,I,I-cont,9,30
explanation,written,T,T-sub,9,30
explanation,steps,E,E-comp,6,30
explanation,reason,S,S-fun,6,30
explanation,description,T,T-sup,6,30
explanation,teacher,S,S-par,6,30
explanation,why,S,S-fun,6,30
explanation,in depth,E,E-sys,6,30
eye,colors,E,E-sys,24,30
eye,sight,S,S-fun,23,30
eye,glasses,S,S-obj,23,30
eye,cornea,E,E-comp,16,30
eye,vision,S,S-fun,14,30
eye,round,E,E-perc,9,30
eye,beautiful,I,I-eval,8,30
eye,pupil,E,E-comp,8,30
eye,iris,E,E-comp,7,30
eye,lashes,E,E-comp,6,30
eye,looking,S,S-fun,6,30
factory,large,E,E-perc,21,30
factory,workers,S,S-par,16,30
factory,mass production,S,S-fun,14,30
factory,industry,E,E-whol,14,30
factory,building,S,S-loc,9,30
factory,labor,S,S-par,7,30
factory,efficient,E,E-sys,7,30
factory,machine,E,E-comp,7,30
factory,assembly line,E,E-comp,7,30
factory,production,S,S-fun,5,30
factory,pollution,I,I-cont,5,30
factory,corporation,I,I-cont,5,30
feces,poop,T,T-syn,23,30
feces,toilet,S,S-loc,15,30
feces,brown,E,E-perc,13,30
feces,smelly,E,E-perc,13,30
feces,dirty,E,E-perc,10,30
feces,natural,E,E-sys,10,30
feces,bathroom,S,S-loc,10,30
feces,animal,T,T-sub,8,30
feces,gross,I,I-eval,5,30
feeding,breast,T,T-sub,17,30
feeding,woman,S,S-par,14,30
feeding,girl,S,S-par,14,30
feeding,in public,S,S-loc,13,30
feeding,natural,E,E-sys,9,30
feeding,baby,S,S-par,9,30
feeding,caring,T,T-sup,7,30
feeding,mother,S,S-par,6,30
feeding,poverty,I,I-cont,6,30
feeding,africa,S,S-loc,5,30
finger,hand,E,E-whol,23,30
finger,nail,E,E-comp,21,30
finger,pointing,S,S-fun,14,30
finger,useful,E,E-sys,9,30
finger,thumb,T,T-sub,8,30
finger,ring,S,S-obj,8,30
finger,touch,S,S-fun,7,30
finger,working,S,S-fun,7,30
finger,long,E,E-perc,6,30
finger,typing,S,S-fun,6,30
finger,nail polish,S,S-obj,5,30
finger,skin,E,E-comp,5,30
finger,pinky,T,T-sub,5,30
finger,knuckles,E,E-comp,5,30
fire,burns,E,E-beh,30,30
fire,heat,I,I-cont,28,30
fire,discovery,I,I-cont,25,30
fire,cooking,I,I-cont,21,30
fire,warming up,I,I-cont,16,30
fire,important,I,I-eval,12,30
fire,water,T,T-coor,12,30
fire,fireman,S,S-par,9,30
flower,colorful,E,E-perc,18,30
flower,spring,S,S-time,18,30
flower,smell,E,E-perc,14,30
flower,love,I,I-emo,12,30
flower,nature,E,E-whol,12,30
flower,green,E,E-perc,9,30
flower,roses,T,T-sub,8,30
flower,daisy,T,T-sub,7,30
flower,beautiful,I,I-eval,7,30
flower,bloom,T,T-sub,7,30
flower,pretty,I,I-eval,7,30
flower,petals,E,E-comp,7,30
flower,bees,S,S-par,6,30
flower,growing,E,E-beh,6,30
flower,yellow,E,E-perc,5,30
flower,pollen,E,E-comp,5,30
flower,red,E,E-perc,5,30
flying,moving,T,T-sup,22,30
flying,air,S,S-loc,15,30
flying,wings,I,I-cont,13,30
flying,throwing,I,I-cont,12,30
flying,falling,I,I-cont,10,30
flying,jumping,I,I-cont,7,30
flying,airplane,S,S-obj,6,30
flying,humans cannot do it,I,I-cont,6,30
food,eating,S,S-act,30,30
food,cooking,S,S-act,19,30
food,dinner,S,S-time,14,30
food,family,S,S-par,11,30
food,delicious,I,I-eval,11,30
food,groceries,T,T-sub,11,30
food,pizza,T,T-sub,8,30
food,vegetables,T,T-sub,7,30
food,hunger,I,I-cont,7,30
food,restaurants,S,S-loc,5,30
force_(physical),body,I,I-cont,16,30
force_(physical),strong,E,E-sys,13,30
force_(physical),push,T,T-sub,11,30
force_(physical),fighting,T,T-sub,8,30
force_(physical),rape,T,T-sub,8,30
force_(physical),people,S,S-par,7,30
fork,food,S,S-obj,28,30
fork,prongs,E,E-comp,27,30
fork,eating,S,S-fun,22,30
fork,dinner,S,S-time,15,30
fork,metal,E,E-comp,14,30
fork,silver,E,E-comp,14,30
fork,spoon,T,T-coor,9,30
fork,knife,T,T-coor,9,30
fork,utensil,T,T-sup,8,30
fork,plastic,E,E-comp,7,30
fork,steel,E,E-comp,6,30
frame,photography,S,S-obj,16,30
frame,painting,S,S-obj,13,30
frame,decoration,S,S-fun,11,30
frame,art,I,I-cont,10,30
frame,wooden,E,E-comp,8,30
frame,camera,S,S-obj,7,30
frame,looking,S,S-act,5,30
freedom,liberty,T,T-syn,29,30
freedom,happiness,I,I-emo,25,30
freedom,america,S,S-loc,21,30
freedom,expression,T,T-sub,21,30
freedom,do what you want,T,T-syn,18,30
freedom,no obstacles,T,T-syn,12,30
freedom,of speech,T,T-sub,8,30
gas,car,E,E-whol,28,30
gas,oil,I,I-cont,21,30
gas,gas station,S,S-loc,14,30
gas,pump,S,S-obj,12,30
gas,cooking,S,S-fun,10,30
gas,smelly,E,E-perc,9,30
gas,expensive,E,E-sys,9,30
gas,farts,T,T-sub,9,30
gas,flammable,E,E-sys,8,30
gas,leak,E,E-beh,8,30
gas,dangerous,E,E-sys,7,30
gas,war,I,I-cont,7,30
gas,vapor,T,T-sub,7,30
gas,science,E,E-whol,7,30
gas,air,T,T-sub,6,30
gas,explosive,E,E-sys,5,30
gas,environment,S,S-loc,5,30
gas,fuel,S,S-fun,5,30
girl,woman,T,T-coor,23,30
girl,female,E,E-sys,21,30
girl,mother,T,T-coor,16,30
girl,dress,S,S-obj,14,30
girl,pink,I,I-cont,10,30
girl,young,E,E-sys,8,30
girl,long hair,E,E-comp,8,30
girl,make up,E,E-perc,6,30
girl,not boy,I,I-cont,5,30
globe_(world),blue,E,E-perc,15,30
globe_(world),green,E,E-perc,14,30
globe_(world),lands,E,E-comp,13,30
globe_(world),maps,S,S-obj,13,30
globe_(world),spherical,E,E-perc,10,30
globe_(world),libraries,S,S-loc,6,30
globe_(world),climate,E,E-sys,6,30
gold,money,I,I-cont,15,30
gold,jewelry,I,I-cont,13,30
gold,silver,T,T-coor,11,30
gold,rings,I,I-cont,9,30
gold,earrings,I,I-cont,9,30
gold,wealth,I,I-cont,9,30
gold,rich,I,I-cont,9,30
gold,mine,S,S-loc,9,30
gold,yellow,E,E-perc,6,30
gold,greed,I,I-cont,6,30
gold,beautiful,I,I-eval,6,30
gold,gold rush,S,S-time,6,30
gold,metal,T,T-sup,6,30
gold,shiny,E,E-perc,6,30
gorilla,animal,T,T-sup,23,30
gorilla,big,E,E-perc,20,30
gorilla,ape,T,T-sup,19,30
gorilla,black,E,E-perc,17,30
gorilla,hairy,E,E-perc,14,30
gorilla,strong,E,E-sys,14,30
gorilla,jungle,S,S-loc,9,30
gorilla,scary,I,I-eval,8,30
gorilla,zoo,S,S-loc,8,30
gorilla,bananas,S,S-obj,8,30
gorilla,furry,E,E-perc,8,30
gorilla,knuckles,E,E-comp,7,30
gorilla,king kong,T,T-sub,7,30
gorilla,similar to humans,I,I-cont,6,30
gorilla,dangerous,E,E-sys,6,30
governance,rules,S,S-fun,22,30
governance,president,S,S-par,17,30
governance,leadership,S,S-fun,15,30
governance,justice,S,S-fun,15,30
governance,authority,E,E-sys,7,30
hand,fingers,E,E-comp,30,30
hand,holding,S,S-fun,21,30
hand,nail,E,E-comp,13,30
hand,rings,S,S-obj,12,30
hand,useful,E,E-sys,12,30
hand,five,E,E-comp,10,30
hand,touching,S,S-fun,10,30
hand,part,T,T-sup,8,30
hand,giving,S,S-fun,7,30
hand,handshake,S,S-fun,7,30
hand,work,S,S-fun,7,30
hand,helping,S,S-fun,6,30
hardness,rock,I,I-cont,11,30
hardness,tough,T,T-syn,10,30
hardness,firm,T,T-syn,9,30
hardness,durable,I,I-cont,8,30
hardness,difficult,T,T-syn,7,30
hardness,wood,I,I-cont,6,30
hardness,softness,T,T-ant,6,30
hardness,diamond,S,S-obj,6,30
hardness,solid,T,T-syn,5,30
hardness,strength,I,I-cont,5,30
hardness,rough,T,T-syn,6,30
harshness,mean,T,T-syn,22,30
harshness,rude,T,T-syn,17,30
harshness,cold,T,T-syn,10,30
harshness,degrading,I,I-cont,7,30
harshness,uncomfortable,I,I-emo,5,30
harshness,sharp,T,T-syn,5,30
harshness,hard,T,T-syn,5,30
harshness,blunt,T,T-syn,5,30
harshness,unkind,I,I-eval,5,30
harshness,emotion,T,T-sup,5,30
heart,love,I,I-cont,27,30
heart,organ,T,T-sup,23,30
heart,vital,E,E-sys,22,30
heart,blood,E,E-comp,19,30
heart,transplant,I,I-cont,12,30
heart,beats,E,E-beh,12,30
heart,broken,E,E-sys,9,30
heart,heart attack,E,E-beh,7,30
heart,center,T,T-syn,6,30
heart,emotions,I,I-cont,6,30
helping,giving,T,T-sub,23,30
helping,caring,I,I-cont,17,30
helping,others,S,S-par,13,30
helping,volunteering,T,T-sub,12,30
helping,charity,T,T-sub,9,30
helping,good,I,I-eval,8,30
helping,necessary,I,I-eval,5,30
helping,selflessness,I,I-cont,5,30
homeland,home,T,T-sup,11,30
homeland,family,S,S-par,10,30
homeland,ancestor,S,S-par,8,30
homeland,culture,I,I-cont,6,30
homeland,nationality,I,I-cont,8,30
homeland,place,T,T-sup,8,30
homeland,usa,T,T-sub,6,30
homeland,place of birth,T,T-syn,6,30
homeland,flag,S,S-obj,6,30
homeland,motherland,T,T-syn,6,30
homeland,childhood,S,S-time,6,30
homeland,pride,I,I-emo,5,30
homeland,security,I,I-cont,5,30
horse,riding,S,S-act,21,30
horse,hay,S,S-obj,20,30
horse,mane,E,E-comp,18,30
horse,animal,T,T-sup,18,30
horse,farm,S,S-loc,17,30
horse,brown,E,E-perc,15,30
horse,saddle,S,S-obj,15,30
horse,fast,E,E-sys,15,30
horse,beautiful,I,I-eval,14,30
horse,transportation,S,S-fun,13,30
horse,big,E,E-perc,11,30
horse,white,E,E-perc,9,30
horse,majestic,I,I-eval,9,30
horse,stable,S,S-loc,9,30
horse,powerful,E,E-sys,8,30
horse,racing,S,S-act,8,30
house,home,T,T-syn,22,30
house,living,S,S-act,16,30
house,roof,E,E-comp,12,30
house,windows,E,E-comp,10,30
house,bricks,E,E-comp,10,30
house,rooms,E,E-comp,8,30
house,family,S,S-par,8,30
house,kitchen,E,E-comp,8,30
house,bathroom,E,E-comp,8,30
house,building,T,T-sup,7,30
house,bedroom,E,E-comp,6,30
house,happy,I,I-emo,6,30
house,warmth,S,S-fun,5,30
icecream,cold,E,E-perc,25,30
icecream,summer,S,S-time,19,30
icecream,chocolate,E,E-comp,16,30
icecream,delicious,I,I-eval,15,30
icecream,treat,T,T-sup,14,30
icecream,milk,E,E-comp,14,30
icecream,cone,E,E-comp,14,30
icecream,sweet,E,E-sys,12,30
icecream,dessert,T,T-sup,11,30
icecream,flavor,E,E-perc,11,30
icecream,creamy,E,E-perc,8,30
icecream,sticky,E,E-perc,6,30
icecream,food,T,T-sup,6,30
icecream,melts,E,E-beh,6,30
icecream,child,S,S-par,5,30
icecream,bowl,S,S-obj,5,30
icecream,spoon,S,S-obj,5,30
icecream,dairy,T,T-sup,5,30
icecream,vanilla,E,E-comp,5,30
idea,thought,T,T-sup,23,30
idea,lightbulb,S,S-obj,14,30
idea,creativity,I,I-cont,14,30
idea,innovation,I,I-cont,11,30
idea,thinking,I,I-cont,10,30
idea,plan,T,T-sub,9,30
idea,mind,S,S-obj,8,30
idea,brain,S,S-obj,7,30
idea,concept,T,T-sup,6,30
institution,school,T,T-sub,13,30
institution,rules,E,E-comp,13,30
institution,government,T,T-sub,10,30
institution,old,E,E-sys,8,30
institution,mental,T,T-sub,8,30
institution,mental health,T,T-sub,8,30
institution,politics,I,I-cont,8,30
institution,hierarchy,E,E-comp,5,30
institution,money,S,S-obj,5,30
institution,official,E,E-sys,5,30
institution,university,T,T-sub,5,30
institution,higher education,T,T-sub,5,30
institution,structure,E,E-sys,5,30
institution,oppressive,I,I-eval,5,30
institution,building,S,S-obj,5,30
jail,bars,E,E-comp,17,30
jail,orange,S,S-other,17,30
jail,prison,T,T-syn,15,30
jail,cells,E,E-comp,11,30
jail,stripes,S,S-other,9,30
jail,crime,I,I-cont,9,30
jail,criminal,S,S-par,9,30
jail,barbed wire,E,E-comp,7,30
jail,place,T,T-sup,6,30
jail,police,S,S-par,6,30
jail,bad,I,I-eval,6,30
jail,incarceration,S,S-act,6,30
jail,cold,E,E-sys,6,30
jail,stuck,I,I-cont,5,30
jail,metal bars,E,E-comp,5,30
jeep,car,T,T-sup,28,30
jeep,muddy,E,E-perc,16,30
jeep,adventure,S,S-time,14,30
jeep,wheels,E,E-comp,14,30
jeep,big,E,E-perc,14,30
jeep,summer,S,S-time,10,30
jeep,wrangler,T,T-sub,9,30
jeep,rough terrain,S,S-loc,9,30
jeep,beach,S,S-loc,8,30
jeep,open,E,E-sys,8,30
jeep,army,S,S-par,7,30
jeep,no doors,E,E-perc,5,30
judgment,judge,S,S-par,14,30
judgment,decision,T,T-sup,9,30
judgment,stereotypes,I,I-cont,8,30
judgment,court,S,S-loc,8,30
judgment,negative,I,I-eval,8,30
judgment,assumption,I,I-cont,7,30
judgment,prejudice,I,I-cont,6,30
judgment,wrong,I,I-eval,5,30
judgment,thoughts,T,T-sup,5,30
judgment,perception,I,I-cont,5,30
judgment,justice,I,I-cont,5,30
judgment,opinion,T,T-sup,5,30
kid,playing,E,E-beh,20,30
kid,child,T,T-syn,15,30
kid,young,E,E-sys,13,30
kid,innocent,I,I-eval,10,30
kid,school,S,S-loc,10,30
kid,naive,I,I-eval,10,30
kid,development,S,S-act,8,30
kid,parents,S,S-par,8,30
kid,friends,S,S-par,8,30
kid,fun,I,I-eval,8,30
kid,baby,T,T-sub,5,30
kid,babysitting,S,S-act,5,30
kid,small,E,E-sys,5,30
kid,needs care,E,E-sys,5,30
kid,imagination,E,E-sys,5,30
kid,running,E,E-beh,5,30
kid,laughing,E,E-beh,5,30
kid,sister,S,S-par,5,30
kid,energy,E,E-sys,5,30
knowledge,power,I,I-cont,23,30
knowledge,learning,I,I-cont,16,30
knowledge,smart,I,I-cont,14,30
knowledge,book,S,S-obj,13,30
knowledge,experience,I,I-cont,11,30
knowledge,wisdom,I,I-cont,9,30
knowledge,information,E,E-comp,8,30
knowledge,intelligence,I,I-cont,8,30
knowledge,facts,E,E-comp,6,30
knowledge,school,S,S-loc,6,30
knowledge,education,I,I-cont,5,30
lion,king,T,T-sub,28,30
lion,dangerous,E,E-sys,26,30
lion,jungle,S,S-loc,23,30
lion,animal,T,T-sup,23,30
lion,roar,E,E-beh,17,30
lion,mane,E,E-comp,17,30
lion,cat,T,T-coor,14,30
lion,africa,S,S-loc,13,30
lion,yellow,E,E-perc,13,30
lion,strong,E,E-sys,10,30
lion,majestic,I,I-eval,13,30
lion,wild,E,E-sys,9,30
lion,golden,E,E-perc,8,30
lion,fur,E,E-comp,8,30
lion,beautiful,I,I-eval,7,30
lion,zoo,S,S-loc,6,30
lion,powerful,E,E-sys,6,30
location,place,T,T-syn,30,30
location,map,S,S-loc,25,30
location,where someone is,T,T-syn,12,30
location,where something is,T,T-syn,9,30
location,space,T,T-syn,7,30
location,destination,T,T-sub,5,30
location,lost,S,S-other,5,30
location,found,S,S-other,5,30
location,area,T,T-syn,5,30
machine,equipment,T,T-syn,14,30
machine,factory,S,S-loc,12,30
machine,engine,E,E-comp,12,30
machine,pieces,E,E-comp,12,30
machine,washing,T,T-sub,11,30
machine,metal,E,E-comp,8,30
machine,man,S,S-par,6,30
manhole,water,E,E-comp,16,30
manhole,city,S,S-loc,14,30
manhole,street,S,S-loc,14,30
manhole,darkness,E,E-perc,12,30
manhole,sewer,S,S-obj,10,30
manhole,dirty,E,E-perc,9,30
manhole,construction,S,S-act,9,30
manhole,worker,S,S-par,9,30
manhole,round,E,E-perc,7,30
manhole,underground,S,S-loc,7,30
manhole,lid,E,E-comp,7,30
manhole,heavy,E,E-sys,6,30
manhole,grate,E,E-comp,5,30
manner,how one acts,T,T-syn,23,30
manner,politeness,T,T-sub,10,30
manner,fancy,I,I-eval,8,30
manner,culture,I,I-cont,8,30
manner,way of being,T,T-syn,6,30
manner,formal,T,T-sub,5,30
manner,attitude,T,T-sub,5,30
manner,individual,S,S-par,5,30
market,trading,S,S-fun,17,30
market,economy,E,E-whol,16,30
market,supermarket,T,T-sub,14,30
market,stock market,T,T-sub,11,30
market,people,S,S-par,9,30
market,suits,S,S-obj,5,30
matches,fire,S,S-fun,30,30
matches,wooden,E,E-comp,21,30
matches,burning,S,S-fun,14,30
matches,light,S,S-obj,12,30
matches,box,S,S-loc,12,30
matches,red,E,E-perc,10,30
matches,flame,I,I-cont,9,30
matches,candle,S,S-obj,9,30
matches,campfire,S,S-obj,7,30
matches,smoking,S,S-act,6,30
maze,lost,I,I-cont,28,30
maze,labyrinth,T,T-syn,16,30
maze,corn,T,T-sub,15,30
maze,hedges,E,E-comp,10,30
maze,confusing,I,I-eval,8,30
maze,complicated,I,I-eval,7,30
maze,dead ends,E,E-comp,5,30
maze,find,S,S-act,5,30
maze,map,S,S-obj,5,30
maze,game,S,S-time,5,30
missile,war,S,S-time,28,30
missile,rocket,T,T-syn,27,30
missile,destruction,S,S-act,24,30
missile,weapon,T,T-sup,15,30
missile,launching,S,S-act,12,30
missile,flying,E,E-beh,11,30
missile,dangerous,I,I-eval,11,30
missile,fire,S,S-obj,9,30
missile,death,S,S-fun,8,30
missile,nuclear,T,T-sub,6,30
missile,killing,S,S-fun,5,30
missile,long,E,E-perc,5,30
money,green,E,E-perc,24,30
money,working,S,S-act,13,30
money,coins,T,T-sub,11,30
money,buying,S,S-fun,10,30
money,cash,T,T-sub,7,30
money,dollar,T,T-sub,7,30
money,bills,T,T-sub,6,30
money,spend,S,S-act,6,30
money,earn,S,S-act,6,30
money,wealth,I,I-cont,6,30
money,bank,S,S-loc,5,30
money,euro,T,T-sub,5,30
motion,movement,T,T-syn,28,30
motion,running,T,T-sub,13,30
motion,action,T,T-sup,10,30
motion,fast,E,E-perc,9,30
motion,slow,E,E-perc,8,30
motion,going,T,T-syn,6,30
motion,dancing,T,T-sub,5,30
motion,physics,E,E-whol,5,30
motion,planets,T,T-sub,5,30
motion,force,I,I-cont,5,30
motion,walking,T,T-sub,5,30
mouth,lips,E,E-comp,29,30
mouth,tongue,E,E-comp,21,30
mouth,eating,S,S-fun,20,30
mouth,teeth,E,E-comp,18,30
mouth,talking,S,S-fun,12,30
mouth,kissing,S,S-fun,11,30
mouth,open,E,E-perc,10,30
mouth,speaking,S,S-fun,8,30
mouth,chewing,S,S-fun,8,30
mouth,singing,S,S-fun,8,30
mouth,food,S,S-obj,7,30
mouth,face,E,E-whol,5,30
mouth,saliva,E,E-comp,5,30
mouth,taste,S,S-fun,5,30
mouth,feeding,S,S-fun,5,30
mouthwash,mint,E,E-perc,18,30
mouthwash,dentist,S,S-par,18,30
mouthwash,blue,E,E-perc,15,30
mouthwash,teeth,S,S-obj,14,30
mouthwash,clean,S,S-fun,13,30
mouthwash,breath,S,S-act,13,30
mouthwash,green,E,E-perc,10,30
mouthwash,hygiene,S,S-fun,11,30
mouthwash,liquid,E,E-perc,8,30
mouthwash,fresh,E,E-perc,8,30
mouthwash,crest,T,T-sub,8,30
mouthwash,sting,I,I-cont,8,30
mouthwash,spit,S,S-act,7,30
mouthwash,listerine,T,T-sub,6,30
mouthwash,refreshing,E,E-perc,5,30
mouthwash,burning,E,E-perc,5,30
mouthwash,toothpaste,S,S-obj,5,30
mouthwash,bathroom,S,S-loc,5,30
mouthwash,morning,S,S-time,5,30
movement,ideas,I,I-cont,10,30
movement,going,T,T-syn,9,30
movement,dancing,T,T-sub,9,30
movement,forward,E,E-perc,8,30
movement,walking,T,T-sub,7,30
movement,running,T,T-sub,7,30
movement,fast,E,E-perc,5,30
movement,slow,E,E-perc,5,30
movement,people,S,S-par,5,30
movement,action,T,T-sup,5,30
movement,direction,E,E-comp,5,30
news,tv,S,S-loc,23,30
news,cnn,T,T-sub,20,30
news,fox,T,T-sub,16,30
news,information,T,T-sup,16,30
news,coverage,I,I-cont,15,30
news,bad,I,I-eval,13,30
news,good,I,I-eval,13,30
news,evening,S,S-time,10,30
news,watching,S,S-act,10,30
news,newspaper,S,S-loc,9,30
newspaper,news,E,E-comp,27,30
newspaper,reading,S,S-act,17,30
newspaper,white,E,E-perc,16,30
newspaper,black,E,E-perc,16,30
newspaper,ink,E,E-comp,11,30
newspaper,information,E,E-comp,10,30
newspaper,journal,T,T-sup,9,30
newspaper,bias,E,E-sys,8,30
newspaper,media,T,T-sup,8,30
newspaper,politics,I,I-cont,6,30
newspaper,headlines,E,E-comp,5,30
newspaper,print,S,S-act,5,30
newspaper,telling,S,S-fun,5,30
newspaper,morning,S,S-time,5,30
newspaper,journalist,S,S-par,5,30
newspaper,knowledge,I,I-cont,5,30
newspaper,new york times,T,T-sub,5,30
object,thing,T,T-syn,24,30
object,something,T,T-syn,16,30
object,touch,E,E-sys,8,30
object,material,E,E-comp,6,30
object,tangible,E,E-sys,6,30
obstacle,overcome,S,S-act,15,30
obstacle,challenge,I,I-cont,13,30
obstacle,difficult,E,E-sys,10,30
obstacle,block,T,T-syn,9,30
obstacle,wall,T,T-sub,8,30
obstacle,problem,T,T-syn,8,30
obstacle,hard,E,E-sys,7,30
obstacle,climbing,S,S-act,7,30
obstacle,rock,T,T-sub,6,30
obstacle,annoying,I,I-eval,5,30
obstacle,physical,E,E-sys,5,30
octopus,ocean,S,S-loc,23,30
octopus,eight legs,E,E-comp,22,30
octopus,tentacles,E,E-comp,18,30
octopus,sea,S,S-loc,17,30
octopus,suction cups,E,E-comp,12,30
octopus,fish,T,T-sup,7,30
octopus,ugly,I,I-eval,7,30
octopus,scary,I,I-eval,7,30
octopus,animal,T,T-sup,5,30
onion,crying,I,I-cont,23,30
onion,white,E,E-perc,18,30
onion,food,T,T-sup,16,30
onion,vegetable,T,T-sup,15,30
onion,dirt,S,S-loc,14,30
onion,pungent,E,E-perc,9,30
onion,bad breath,I,I-cont,9,30
onion,layers,E,E-perc,7,30
onion,smelly,E,E-perc,7,30
