cue,response,human1,human2,frequency,n
opinion,idea,T,T-sup,22,30
opinion,thinking,I,I-cont,8,30
opinion,debate,I,I-cont,8,30
opinion,argument,I,I-cont,8,30
opinion,politics,I,I-cont,8,30
opinion,right,I,I-eval,5,30
opinion,wrong,I,I-eval,5,30
opinion,strong,E,E-sys,5,30
opinion,unique,E,E-sys,5,30
opinion,agreement,I,I-cont,5,30
opinion,disagreement,I,I-cont,5,30
opinion,topic,I,I-cont,5,30
opinion,discussion,S,S-time,5,30
opinion,not a fact,I,I-cont,5,30
opportunity,success,I,I-cont,16,30
opportunity,great,I,I-eval,12,30
opportunity,seeking,S,S-act,12,30
opportunity,gift,T,T-sup,5,30
organism,living,E,E-sys,21,30
organism,life,I,I-cont,19,30
organism,science,E,E-whol,16,30
organism,cells,E,E-comp,12,30
organism,plant,T,T-sub,11,30
organism,earth,S,S-loc,11,30
organism,bacteria,T,T-sub,9,30
organism,animal,T,T-sub,8,30
organization,planned,E,E-sys,13,30
organization,order,S,S-fun,10,30
organization,group,T,T-syn,10,30
organization,non profit,T,T-sub,8,30
organization,people,S,S-par,8,30
origin,start,T,T-syn,17,30
origin,birth,T,T-sub,15,30
origin,history,E,E-whol,13,30
origin,beginning,T,T-syn,12,30
origin,place,T,T-sup,11,30
origin,family,S,S-par,10,30
origin,life,E,E-whol,9,30
origin,nationality,T,T-syn,6,30
origin,creation,T,T-syn,6,30
partner,love,T,T-sub,19,30
partner,equality,I,I-cont,16,30
partner,friend,T,T-sup,14,30
partner,work,T,T-sub,12,30
partner,together,I,I-cont,11,30
partner,life,T,T-sub,11,30
partner,in crime,T,T-sub,11,30
partner,business,T,T-sub,8,30
partner,associate,T,T-sub,8,30
partner,gay,T,T-sub,7,30
partner,trust,I,I-cont,6,30
partner,companion,T,T-sup,5,30
partner,couple,S,S-fun,5,30
partner,marriage,S,S-time,5,30
path,walking,S,S-act,22,30
path,woods,S,S-loc,18,30
path,dirt,E,E-comp,18,30
path,trail,T,T-syn,15,30
path,hiking,S,S-act,14,30
path,road,T,T-sup,13,30
path,direction,S,S-fun,8,30
path,the road less travelled,T,T-syn,6,30
path,journey,S,S-time,6,30
peace,war,T,T-ant,28,30
peace,dove,I,I-cont,25,30
peace,calm,I,I-cont,22,30
peace,quiet,I,I-cont,16,30
peace,world,S,S-loc,9,30
peace,rest,I,I-cont,9,30
peace,love,T,T-coor,6,30
pen,writing,S,S-fun,28,30
pen,ink,E,E-comp,26,30
pen,black,T,T-sub,26,30
pen,quill,T,T-sub,14,30
pen,school,S,S-loc,14,30
pen,words,S,S-obj,13,30
pen,pointed end,E,E-comp,8,30
pen,long,E,E-perc,7,30
pen,red,T,T-sub,7,30
pen,blue,T,T-sub,7,30
pen,metal,E,E-comp,5,30
pen,plastic,E,E-comp,5,30
pepper,spicy,E,E-perc,28,30
pepper,hot,E,E-perc,24,30
pepper,green,E,E-perc,21,30
pepper,red,E,E-perc,21,30
pepper,sweet,E,E-perc,16,30
pepper,food,T,T-sup,13,30
pepper,black,E,E-perc,12,30
pepper,salt,T,T-coor,9,30
perfume,smell,E,E-perc,25,30
perfume,expensive,E,E-sys,22,30
perfume,spray,T,T-sub,14,30
perfume,women,S,S-par,11,30
perfume,bottle,S,S-loc,8,30
perfume,scent,T,T-syn,8,30
perfume,going out,S,S-time,7,30
perfume,nice,I,I-eval,6,30
perfume,attract,S,S-fun,6,30
perfume,trigger,S,S-fun,5,30
perfume,fancy,I,I-eval,5,30
perfume,odor,T,T-sup,5,30
person,human,T,T-sup,25,30
person,individual,T,T-syn,19,30
person,people,T,T-sup,18,30
person,friends,T,T-sub,10,30
person,stranger,T,T-sub,7,30
person,figure,T,T-sub,7,30
person,soul,E,E-comp,7,30
person,speaking,E,E-beh,6,30
person,gender,E,E-comp,6,30
person,know,S,S-act,5,30
person,mind,E,E-comp,5,30
person,living,E,E-beh,5,30
picture,camera,S,S-obj,25,30
picture,photograph,T,T-syn,16,30
picture,memories,S,S-fun,16,30
picture,frame,S,S-loc,14,30
picture,family,S,S-par,11,30
picture,taking,S,S-act,8,30
picture,colors,E,E-perc,7,30
picture,representation,T,T-sup,6,30
picture,emotions,I,I-cont,6,30
picture,beautiful,I,I-eval,5,30
picture,digital,E,E-sys,5,30
picture,art,E,E-whol,5,30
piglet,pink,E,E-perc,27,30
piglet,pig,T,T-sup,25,30
piglet,cute,I,I-eval,24,30
piglet,baby,T,T-sup,24,30
piglet,small,E,E-perc,15,30
piglet,mud,S,S-loc,14,30
piglet,bacon,I,I-cont,12,30
piglet,farm,S,S-loc,8,30
piglet,food,I,I-cont,6,30
place,home,T,T-sub,20,30
place,location,T,T-syn,17,30
place,country,T,T-sub,10,30
place,somewhere,T,T-syn,9,30
place,square,T,T-sub,8,30
place,park,T,T-sub,8,30
place,where people meet,T,T-syn,7,30
place,city,T,T-sub,7,30
place,spot,T,T-sub,7,30
place,area,T,T-syn,6,30
place,store,T,T-sub,6,30
plant,green,E,E-perc,28,30
plant,growing,E,E-beh,17,30
plant,flowers,E,E-comp,16,30
plant,sunlight,I,I-cont,13,30
plant,nature,E,E-whol,12,30
plant,water,I,I-cont,10,30
plant,garden,S,S-loc,10,30
plant,leaves,E,E-comp,8,30
plant,beautiful,I,I-eval,8,30
plant,oxygen,I,I-cont,8,30
plant,trees,T,T-sub,7,30
plant,pots,S,S-loc,5,30
plastic,material,T,T-sup,19,30
plastic,cheap,E,E-sys,14,30
plastic,substance,T,T-sup,13,30
plastic,not glass,T,T-syn,13,30
plastic,light,E,E-sys,10,30
plastic,unbreakable,E,E-sys,7,30
point,meeting,T,T-sub,16,30
point,math,S,S-time,11,30
point,period,T,T-sub,9,30
point,end,I,I-cont,9,30
point,view,T,T-sub,8,30
point,writing,S,S-act,8,30
possibility,chance,T,T-syn,16,30
possibility,could happen,E,E-beh,9,30
possibility,hope,I,I-cont,8,30
possibility,option,T,T-syn,8,30
possibility,maybe,T,T-syn,7,30
possibility,future,S,S-time,7,30
possibility,opportunity,T,T-syn,6,30
possibility,open door,I,I-cont,6,30
possibility,ability,I,I-cont,5,30
possibility,choice,I,I-cont,5,30
poverty,world,S,S-loc,16,30
poverty,street,S,S-loc,14,30
poverty,war,S,S-time,9,30
poverty,sad,I,I-eval,8,30
poverty,need,I,I-cont,8,30
poverty,money,S,S-obj,8,30
poverty,beggar,S,S-par,7,30
poverty,famine,I,I-cont,5,30
president,obama,T,T-sub,18,30
president,leader,S,S-fun,15,30
president,white house,S,S-loc,11,30
president,elections,S,S-time,10,30
president,important,E,E-sys,10,30
president,country,S,S-loc,9,30
president,voting,S,S-act,8,30
president,democracy,I,I-cont,8,30
president,bush,T,T-sub,6,30
president,in charge,E,E-beh,5,30
president,nation,S,S-loc,5,30
president,powerful,E,E-sys,5,30
president,lincoln,T,T-sub,5,30
president,responsible,E,E-sys,5,30
president,government,E,E-whol,5,30
provider,giving,E,E-beh,21,30
provider,services,T,T-sub,14,30
provider,money,T,T-sub,12,30
provider,food,T,T-sub,10,30
provider,worker,T,T-sup,9,30
provider,parents,T,T-sub,8,30
provider,health care,T,T-sub,7,30
provider,protect,S,S-fun,7,30
provider,need,I,I-cont,7,30
provider,safety,S,S-fun,7,30
provider,caregiver,T,T-syn,7,30
provider,source,T,T-syn,5,30
provider,father,T,T-sub,5,30
provider,selfless,E,E-sys,5,30
purpose,reason,I,I-cont,24,30
purpose,life,S,S-time,16,30
purpose,destiny,I,I-cont,12,30
purpose,motivation,I,I-cont,12,30
purpose,meaning,E,E-comp,9,30
purpose,desire,T,T-sub,6,30
purpose,aspiration,T,T-syn,5,30
purpose,goal,T,T-syn,5,30
purpose,necessary,E,E-sys,5,30
radio,music,S,S-fun,30,30
radio,car,S,S-loc,26,30
radio,communication,S,S-fun,20,30
radio,talk,S,S-fun,18,30
radio,news,S,S-fun,15,30
radio,entertainment,S,S-fun,12,30
radio,station,E,E-comp,9,30
radio,old,E,E-sys,8,30
radio,Nineties,S,S-time,5,30
rank,military,T,T-sub,15,30
rank,class,T,T-syn,14,30
rank,organization,E,E-whol,9,30
rank,numbers,S,S-obj,8,30
rank,status,T,T-sup,7,30
rank,order,T,T-syn,6,30
rank,list,T,T-syn,6,30
rank,first,T,T-sub,6,30
rank,high,E,E-sys,5,30
rank,low,E,E-sys,5,30
rank,level,E,E-comp,5,30
rank,value,E,E-comp,5,30
reading,looking,I,I-cont,24,30
reading,imagining,I,I-cont,19,30
reading,writing,T,T-coor,16,30
reading,understanding,I,I-cont,15,30
reading,comprehending,I,I-cont,13,30
reading,lines,S,S-obj,11,30
reading,envisioning,I,I-cont,7,30
reading,studying,I,I-cont,7,30
reason,logic,E,E-sys,23,30
reason,intelligence,I,I-cont,21,30
reason,judgment,I,I-cont,11,30
reason,explanation,T,T-syn,8,30
reason,justification,T,T-syn,7,30
reason,because,T,T-syn,7,30
reason,excuses,T,T-sub,5,30
rhino,horn,E,E-comp,30,30
rhino,africa,S,S-loc,23,30
rhino,grey,E,E-perc,18,30
rhino,animal,T,T-sup,18,30
rhino,safari,S,S-time,17,30
rhino,zoo,S,S-loc,16,30
rhino,dangerous,E,E-sys,9,30
rhino,big,E,E-perc,8,30
rhino,strong,E,E-sys,7,30
rhino,charge,E,E-beh,7,30
rhino,aggressive,E,E-sys,6,30
rhino,angry,E,E-sys,5,30
rhino,four legs,E,E-comp,5,30
rhino,wild,E,E-sys,5,30
rhino,beady eyes,E,E-comp,5,30
river,water,E,E-comp,30,30
river,flow,E,E-sys,15,30
river,fish,S,S-par,13,30
river,stones,E,E-comp,10,30
river,pebble,E,E-comp,10,30
river,fresh,E,E-sys,9,30
river,cold,E,E-sys,8,30
river,running,E,E-beh,8,30
river,transportation,S,S-fun,8,30
river,calm,E,E-sys,8,30
river,rafting,S,S-act,6,30
river,blue,E,E-perc,5,30
river,bridge,S,S-obj,5,30
route,path,T,T-syn,14,30
route,road,T,T-syn,14,30
route,direction,E,E-sys,13,30
route,travel,S,S-fun,12,30
route,map,S,S-loc,12,30
route,destination,I,I-cont,8,30
route,bus,T,T-sub,7,30
route,street,S,S-loc,7,30
route,going,S,S-act,7,30
route,lost,I,I-cont,6,30
route,pathway,T,T-syn,5,30
route,turning,S,S-act,5,30
route,follow,S,S-act,5,30
rubbish,trash,T,T-syn,30,30
rubbish,waste,T,T-syn,19,30
rubbish,garbage,T,T-syn,17,30
rubbish,bin,S,S-loc,14,30
rubbish,crap,T,T-syn,11,30
rubbish,dirty,E,E-perc,11,30
rubbish,recycling,S,S-act,10,30
rubbish,paper,E,E-comp,7,30
rubbish,can,E,E-comp,5,30
rubbish,plastic,E,E-comp,5,30
rubbish,bottles,E,E-comp,5,30
seagull,bird,T,T-sup,25,30
seagull,beach,S,S-loc,21,30
seagull,loud,E,E-sys,17,30
seagull,wings,E,E-comp,17,30
seagull,flying,E,E-beh,16,30
seagull,white,E,E-perc,14,30
seagull,eats fish,E,E-beh,9,30
seagull,dirty,E,E-sys,7,30
seagull,elegant,E,E-sys,5,30
seagull,steals food,E,E-beh,5,30
seaweed,green,E,E-perc,29,30
seaweed,beach,S,S-loc,27,30
seaweed,food,T,T-sup,21,30
seaweed,ocean,S,S-loc,16,30
seaweed,sushi,I,I-cont,16,30
seaweed,slimy,E,E-perc,14,30
seaweed,smelly,E,E-perc,9,30
seaweed,fish,S,S-par,8,30
seaweed,plant,T,T-sup,8,30
seaweed,underwater,S,S-loc,6,30
sight,eyes,I,I-cont,27,30
sight,glasses,I,I-cont,26,30
sight,seeing,S,S-fun,16,30
sight,perception,T,T-sup,12,30
sight,light,I,I-cont,12,30
sight,senses,T,T-sup,9,30
sight,future,I,I-cont,9,30
sight,view,T,T-syn,6,30
signature,sign ,S,S-act,27,30
signature,document,S,S-loc,25,30
signature,writing,S,S-act,24,30
signature,official,E,E-sys,22,30
signature,papers,S,S-loc,14,30
signature,pen,S,S-obj,11,30
signature,name,I,I-cont,8,30
situation,problem,T,T-syn,16,30
situation,state of being,T,T-sup,11,30
situation,event,T,T-coor,10,30
situation,action,T,T-coor,8,30
situation,bad,I,I-eval,8,30
situation,good,I,I-eval,8,30
situation,circumstance,T,T-syn,5,30
situation,sticky,E,E-sys,5,30
situation,happening,E,E-beh,5,30
skin,tan,E,E-perc,23,30
skin,soft,E,E-perc,21,30
skin,white,E,E-perc,19,30
skin,freckles,E,E-perc,17,30
skin,lotion,S,S-obj,16,30
skin,smooth,E,E-perc,8,30
skin,human,E,E-sys,7,30
skin,sunburn,I,I-cont,6,30
skin,black,E,E-perc,6,30
skin,dermatologists,S,S-par,5,30
smoking_the_activity_of,addiction,T,T-sup,23,30
smoking_the_activity_of,bad,I,I-eval,21,30
smoking_the_activity_of,kills,E,E-beh,20,30
smoking_the_activity_of,deadly,E,E-sys,17,30
smoking_the_activity_of,smell,E,E-perc,12,30
smoking_the_activity_of,cigarette,S,S-obj,9,30
smoking_the_activity_of,cancer,I,I-cont,8,30
space,air,E,E-comp,13,30
space,open,E,E-perc,12,30
space,empty,E,E-perc,7,30
space,private,E,E-sys,5,30
spoon,fork,T,T-coor,25,30
spoon,soup,S,S-obj,21,30
spoon,knife,T,T-coor,18,30
spoon,eating,S,S-fun,16,30
spoon,silver,E,E-comp,15,30
spoon,food,S,S-obj,11,30
spoon,metal,E,E-comp,9,30
spoon,cereal,S,S-obj,9,30
spoon,utensil,T,T-sup,8,30
spoon,measuring,S,S-fun,7,30
spoon,icecream,S,S-obj,7,30
spoon,silverware,T,T-sup,5,30
spoon,smooth surface,E,E-perc,5,30
spoon,cutlery,T,T-sup,5,30
spoon,feeding,S,S-fun,5,30
spoon,plastic,E,E-comp,5,30
spoon,round,E,E-perc,5,30
success,money,I,I-cont,28,30
success,happiness,I,I-emo,25,30
success,no worries,I,I-cont,16,30
success,gold star,S,S-obj,12,30
success,accomplishment,T,T-syn,10,30
success,power,I,I-cont,9,30
success,completion,I,I-cont,8,30
success,family,S,S-par,8,30
success,suits,S,S-obj,7,30
sun,heat,S,S-fun,16,30
sun,light,S,S-fun,15,30
sun,sunburn,I,I-cont,14,30
sun,sunset,E,E-beh,12,30
sun,yellow,E,E-perc,12,30
sun,big,E,E-sys,10,30
sun,beach,S,S-loc,9,30
sun,happy,I,I-emo,8,30
sun,bright,E,E-perc,7,30
sun,important,E,E-sys,7,30
sun,life,S,S-fun,7,30
sun,star,T,T-sup,5,30
surface,top,T,T-sub,18,30
surface,smooth,E,E-perc,17,30
surface,space,T,T-sup,13,30
surface,rough,E,E-perc,10,30
surface,outer part,T,T-syn,10,30
surface,table,T,T-sub,9,30
surface,flat,E,E-perc,9,30
surface,seeing,S,S-act,7,30
surface,not deep,E,E-perc,5,30
surface,area,T,T-sup,5,30
surface,layer,T,T-sub,5,30
swan,white,E,E-perc,30,30
swan,beautiful,I,I-eval,27,30
swan,graceful,I,I-eval,26,30
swan,bird,T,T-sup,26,30
swan,swim,E,E-beh,20,30
swan,mean,E,E-sys,19,30
swan,flying,E,E-beh,18,30
swan,long neck,E,E-comp,11,30
swan,wings,E,E-comp,11,30
swan,lake,S,S-loc,9,30
swan,peaceful,I,I-eval,5,30
swan,large,E,E-sys,5,30
sweater,winter,S,S-time,23,30
sweater,warm,E,E-sys,23,30
sweater,comfortable,I,I-eval,17,30
sweater,colors,E,E-perc,17,30
sweater,clothing,T,T-sup,16,30
sweater,autumn,S,S-time,15,30
sweater,knitted,E,E-sys,14,30
sweater,wool,E,E-comp,12,30
sweater,fire,S,S-obj,9,30
sweater,nice,I,I-eval,6,30
switch,change,I,I-cont,25,30
switch,light,T,T-sub,21,30
switch,exchange,T,T-syn,15,30
switch,swap,T,T-syn,12,30
switch,trade,T,T-syn,8,30
switch,new,E,E-sys,8,30
switch,turn,S,S-act,8,30
switch,on,E,E-sys,6,30
switch,off,E,E-sys,6,30
switch,electricity,E,E-whol,5,30
tablet,ipad,T,T-sub,16,30
tablet,technology,E,E-whol,16,30
tablet,writing,S,S-act,11,30
tablet,small,E,E-perc,8,30
tablet,computer,T,T-coor,8,30
tablet,electronic,E,E-sys,7,30
tablet,portable,E,E-sys,7,30
tamer,lion,S,S-par,25,30
tamer,circus,S,S-loc,19,30
tamer,whip,S,S-obj,14,30
tamer,control,S,S-fun,12,30
tamer,animals,S,S-par,11,30
tamer,wild,S,S-other,9,30
tamer,domesticated,S,S-other,8,30
tamer,brave,E,E-sys,5,30
tamer,costume,E,E-comp,5,30
tamer,zoo,S,S-loc,5,30
tank,war,S,S-time,26,30
tank,big,E,E-perc,23,30
tank,military,E,E-sys,18,30
tank,destruction,S,S-fun,14,30
tank,green,E,E-perc,12,30
tank,heavy,E,E-sys,12,30
tank,metal,E,E-comp,9,30
tank,army,E,E-whol,8,30
target,arrows,S,S-obj,23,30
target,goal,T,T-syn,20,30
target,bull's eye,T,T-syn,20,30
target,red,E,E-perc,18,30
target,white,E,E-perc,16,30
target,archery,E,E-whol,15,30
target,aim,S,S-act,13,30
target,shooting,S,S-act,11,30
target,gun,S,S-obj,10,30
target,practice,I,I-cont,8,30
target,bow,S,S-obj,7,30
target,darts,S,S-obj,5,30
target,achievement,T,T-syn,5,30
target,hit,S,S-act,5,30
target,hunting,S,S-act,5,30
technology,computers,T,T-sub,23,30
technology,social networks,E,E-comp,20,30
technology,science,T,T-coor,18,30
technology,knowledge,T,T-sub,17,30
technology,digital,E,E-sys,17,30
technology,information,E,E-comp,17,30
technology,tablets,T,T-sub,14,30
technology,addictive,I,I-eval,12,30
technology,digital natives,S,S-par,12,30
technology,automated,E,E-sys,11,30
tentacle,octopus,E,E-whol,28,30
tentacle,slippery,E,E-perc,25,30
tentacle,purple,E,E-perc,24,30
tentacle,suction cups,E,E-comp,23,30
tentacle,ocean,S,S-loc,15,30
tentacle,slimy,E,E-perc,13,30
tentacle,wet,E,E-perc,9,30
tentacle,water,S,S-obj,8,30
terrorist,attacks,E,E-beh,25,30
terrorist,islam,I,I-cont,22,30
terrorist,death,I,I-cont,22,30
terrorist,kamikaze,T,T-sub,18,30
terrorist,sad,I,I-eval,16,30
terrorist,bad,I,I-eval,16,30
terrorist,religion,I,I-cont,15,30
terrorist,fear,I,I-emo,11,30
thermometer,temperature,I,I-cont,28,30
thermometer,mercury,E,E-comp,21,30
thermometer,hot,E,E-sys,18,30
thermometer,fever,I,I-cont,17,30
thermometer,weather,I,I-cont,14,30
thermometer,measurement,S,S-fun,12,30
thermometer,red,E,E-perc,9,30
thermometer,sick,I,I-cont,9,30
thermometer,degrees,E,E-comp,9,30
thermometer,blue,E,E-perc,7,30
thermometer,cold,E,E-perc,7,30
thermometer,pointed end,E,E-perc,7,30
thermometer,farenheit,I,I-cont,7,30
thermometer,heat,I,I-cont,6,30
thermometer,sickness,I,I-cont,5,30
time,clock,I,I-cont,17,30
time,watch,I,I-cont,16,30
time,different zones,E,E-sys,14,30
time,measurement,I,I-cont,14,30
time,hours,E,E-comp,12,30
time,minutes,E,E-comp,12,30
time,seconds,E,E-comp,10,30
time,schedule,S,S-obj,9,30
tire,car,E,E-whol,30,30
tire,rubber,E,E-comp,28,30
tire,wheel,S,S-obj,21,30
tire,flat,E,E-perc,15,30
tire,driving,S,S-act,13,30
tire,round,E,E-perc,12,30
tire,bike,E,E-whol,8,30
toy,playing,S,S-fun,22,30
toy,child,S,S-par,21,30
toy,fun,I,I-eval,16,30
toy,christmas,S,S-time,15,30
toy,kid,S,S-par,15,30
toy,baby,S,S-par,14,30
toy,stuff animal,T,T-sub,13,30
toy,barbies,T,T-sub,9,30
toy,colorful,E,E-perc,9,30
toy,object,T,T-sup,8,30
toy,learning,S,S-fun,7,30
toy,ball,T,T-sub,6,30
toy,store,S,S-loc,6,30
toy,imagination,I,I-cont,6,30
trainer,coaching,E,E-beh,23,30
trainer,helping,E,E-beh,16,30
trainer,supporting,E,E-beh,14,30
trainer,teacher,T,T-sup,12,30
trainer,education,E,E-whol,12,30
trainer,yelling,E,E-beh,9,30
trainer,power,I,I-cont,8,30
trainer,control,I,I-cont,6,30
trainer,experienced,E,E-sys,5,30
tree,green,E,E-perc,26,30
tree,life,I,I-cont,22,30
tree,oxygen,S,S-fun,17,30
tree,nature,E,E-whol,13,30
tree,wood,E,E-comp,10,30
tree,forest,E,E-whol,10,30
tree,earth,S,S-loc,9,30
tree,leaves,E,E-comp,8,30
tree,old,E,E-sys,8,30
tree,growth,E,E-beh,8,30
tree,park,S,S-loc,7,30
tree,air,S,S-obj,7,30
tree,fruit,E,E-comp,6,30
tree,shade,S,S-fun,6,30
tree,bark,E,E-comp,5,30
tree,flowers,E,E-comp,5,30
tree,roots,E,E-comp,5,30
tree,beautiful,I,I-eval,5,30
tree,trunk,E,E-comp,5,30
tree,branches,E,E-comp,5,30
tree,climbing,S,S-act,5,30
tree,strong,E,E-sys,5,30
tree,brown,E,E-perc,5,30
trumpet,music,S,S-fun,30,30
trumpet,loud,E,E-perc,26,30
trumpet,jazz,I,I-cont,20,30
trumpet,instrument,T,T-sup,15,30
trumpet,band,S,S-par,12,30
trumpet,brass,T,T-sup,12,30
trumpet,horns,T,T-sub,7,30
trumpet,gold,E,E-perc,6,30
turtle,shell,E,E-comp,29,30
turtle,green,E,E-perc,27,30
turtle,slow,E,E-sys,25,30
turtle,animal,T,T-sup,22,30
turtle,hard,E,E-perc,17,30
turtle,swims,E,E-beh,7,30
turtle,wrinkly,E,E-perc,7,30
turtle,reptile,T,T-sup,7,30
understanding,empathy,I,I-cont,13,30
understanding,time,I,I-cont,11,30
understanding,sympathetic,I,I-cont,9,30
understanding,family,I,I-cont,7,30
understanding,comprehension,I,I-cont,7,30
understanding,knowledge,I,I-cont,6,30
war,death,I,I-cont,26,30
war,guns,E,E-comp,25,30
war,destructive,E,E-sys,19,30
war,kill,I,I-cont,16,30
war,bombs,E,E-comp,13,30
war,conflict,T,T-sup,11,30
war,fighting,S,S-act,9,30
war,shooting,S,S-act,8,30
war,enemies,S,S-par,8,30
war,human,E,E-sys,7,30
war,soldiers,S,S-par,7,30
war,territory,S,S-fun,6,30
war,religion,S,S-fun,6,30
war,sadness,I,I-emo,5,30
water_rise(tide),ocean,S,S-loc,18,30
water_rise(tide),high tide,T,T-syn,14,30
water_rise(tide),low tide,T,T-syn,14,30
water_rise(tide),moon,S,S-obj,13,30
water_rise(tide),fishing,S,S-act,7,30
weapon,gun,T,T-sub,27,30
weapon,knife,T,T-sub,22,30
weapon,pistol,T,T-sub,20,30
weapon,bomb,T,T-sub,16,30
weapon,wrong,I,I-eval,12,30
weapon,negative,I,I-eval,10,30
weapon,america,S,S-loc,10,30
weapon,war,S,S-time,8,30
weapon,officer,S,S-par,7,30
wheel,car,E,E-whol,30,30
wheel,round,E,E-perc,26,30
wheel,spinning,E,E-beh,20,30
wheel,tires,E,E-comp,19,30
wheel,bycicle,E,E-whol,9,30
wheel,rolls,E,E-beh,8,30
wheel,rubber,E,E-comp,6,30
wheel,invention,T,T-sup,6,30
yolk,egg,E,E-whol,30,30
yolk,yellow,E,E-perc,30,30
yolk,chicken,I,I-cont,16,30
yolk,egg white,T,T-coor,12,30
yolk,scrambled,E,E-sys,10,30
yolk,breakfast,S,S-time,9,30
yolk,baby chick,I,I-cont,9,30
yolk,baking,S,S-fun,8,30
yolk,cooking,S,S-fun,8,30
yolk,round,E,E-perc,8,30
yolk,eating,S,S-act,5,30
yolk,yummy,E,E-perc,5,30
yolk,cholesterol,I,I-cont,5,30
yolk,hard boiled,S,S-act,5,30
zebra,black,E,E-perc,30,30
zebra,white,E,E-perc,30,30
zebra,stripes,E,E-comp,27,30
zebra,africa,S,S-loc,23,30
zebra,animal,T,T-sup,14,30
zebra,endangered,E,E-sys,13,30
zebra,lives in groups,E,E-beh,8,30
zebra,horse,T,T-coor,8,30
zebra,mane,E,E-comp,7,30
zebra,zoo,S,S-loc,7,30
