,cue,response,humanA1,humanA2,humanB1,humanB2,frequency
1,ability,agility,T,T-sub,T,T-sub,2
2,ability,capable,E,E-prop,E,E-prop,4
3,ability,talent,T,T-syn,T,T-syn,8
4,achievement,award,T,T-coord,S,S-obj,7
5,achievement,goal,E,E-prop,E,E-prop,10
6,achievement,success,T,T-syn,E,E-state,7
7,adventure,journey,S,S-time,S,S-time,2
8,adventure,trip,S,S-time,S,S-time,3
9,air,atmosphere,E,E-whole,E,E-whole,5
10,air,breath,S,S-action,S,S-action,4
11,air,breathe,S,S-action,S,S-action,13
12,airport,plane,S,S-obj,S,S-obj,13
13,airport,planes,S,S-obj,S,S-obj,4
14,airport,travel,S,S-action,S,S-action,9
15,alcohol,drink,T,T-super,S,S-action,8
16,alcohol,drunk,S,S-context,S,S-context,7
17,ambulance,hospital,S,S-loc,S,S-loc,9
18,ambulance,sick,S,S-context,S,S-context,2
19,ambulance,siren,E,E-comp,E,E-comp,10
20,ancestor,ancient,E,E-prop,E,E-prop,4
21,ancestor,family,E,E-whole,E,E-whole,9
22,ancestor,history,E,E-whole,E,E-whole,6
23,ancestor,old,E,E-prop,E,E-prop,10
24,ancestor,relative,T,T-super,E,E-prop,5
25,anchor,weight,E,E-prop,E,E-prop,8
26,apartment,home,T,T-super,T,T-super,9
27,apartment,house,T,T-syn,T,T-coord,7
28,apple,tree,E,E-whole,E,E-whole,7
29,army,green,S,S-context,S,S-context,5
30,army,military,E,E-whole,E,E-whole,4
31,army,navy,T,T-coord,T,T-coord,10
32,army,soldier,E,E-comp,S,S-agent,10
33,army,war,S,S-time,S,S-time,9
34,arrest,jail,S,S-loc,S,S-loc,9
35,arrest,stop,T,T-syn,T,T-syn,10
36,arrow,bow,S,S-obj,S,S-obj,20
37,arrow,head,E,E-comp,E,E-comp,3
38,arrow,straight,E,E-prop,E,E-state,4
39,art,beauty,I,I-contin,I,I-eval,3
40,art,craft,T,T-ant,T,T-ant,2
41,art,paint,S,S-obj,S,S-obj,6
42,art,picture,T,T-sub,T,T-sub,3
43,atom,molecule,E,E-whole,E,E-whole,6
44,atom,particle,T,T-super,E,E-comp,3
45,atom,science,I,I-contin,E,E-whole,8
46,attack,defend,T,T-ant,T,T-ant,5
47,attack,fight,T,T-coord,E,E-beh,9
48,attack,hit,T,T-coord,S,S-action,3
49,attitude,bad,E,E-state,E,E-state,7
50,attitude,good,E,E-state,E,E-state,3
51,audience,applause,E,E-beh,S,S-action,5
52,audience,clap,E,E-beh,S,S-action,4
53,audience,clapping,E,E-beh,S,S-action,3
54,audience,crowd,T,T-syn,E,E-prop,7
55,aunt,family,T,T-super,E,E-whole,7
56,aunt,relative,T,T-super,E,E-comp,3
57,aunt,uncle,T,T-coord,T,T-coord,24
58,aunt,woman,E,E-prop,E,E-prop,4
59,author,write,E,E-beh,E,E-beh,2
60,author,writer,T,T-sub,E,E-comp,20
61,balance,beam,S,S-obj,S,S-obj,8
62,ball,bat,S,S-obj,S,S-obj,5
63,ball,game,S,S-time,E,E-whole,5
64,ball,play,S,S-action,S,S-action,5
65,ballet,dance,T,T-coord,T,T-super,18
66,ballet,dancer,S,S-agent,S,S-agent,2
67,balloon,air,E,E-comp,S,S-loc,7
68,balloon,ball,T,T-coord,T,T-super,3
69,balloon,pop,S,S-action,S,S-action,6
70,balloon,red,E,E-prop,S,S-context,8
71,bamboo,panda,S,S-agent,S,S-agent,16
72,bamboo,shoot,E,E-prop,E,E-comp,3
73,bamboo,tree,T,T-super,T,T-super,3
74,bamboo,wood,E,E-comp,E,E-comp,7
75,bandage,Band-Aid,T,T-sub,T,T-sub,9
76,bandage,cut,S,S-action,S,S-obj,7
77,bandage,injury,S,S-obj,S,S-obj,4
78,baseball,ball,S,S-obj,S,S-obj,4
79,baseball,bat,S,S-obj,S,S-obj,16
80,basement,attic,T,T-ant,T,T-ant,2
81,basement,cold,E,E-prop,S,S-targetstate,5
82,basement,dark,E,E-prop,S,S-targetstate,8
83,basement,house,E,E-whole,S,S-loc,3
84,basketball,game,T,T-super,E,E-comp,5
85,basketball,hoop,S,S-obj,S,S-obj,7
86,bat,ball,S,S-obj,S,S-obj,10
87,bat,baseball,S,S-action,S,S-obj,11
88,beach,ball,S,S-obj,S,S-obj,4
89,beach,ocean,S,S-loc,S,S-obj,7
90,beach,sand,E,E-comp,S,S-obj,27
91,beach,sea,S,S-loc,S,S-obj,4
92,bear,big,E,E-prop,E,E-state,2
93,bear,cub,T,T-sub,T,T-sub,3
94,beast,monster,T,T-sub,T,T-sub,8
95,bed,mattress,E,E-comp,S,S-obj,4
96,bed,rest,S,S-function,S,S-function,3
97,bee,honey,S,S-obj,T,T-sub,18
98,bee,sting,E,E-beh,S,S-action,9
99,beef,cow,E,E-whole,E,E-whole,20
100,beef,steak,T,T-sub,T,T-sub,7
101,beer,ale,T,T-sub,T,T-sub,6
102,beer,bottle,S,S-loc,S,S-loc,3
103,beer,drink,T,T-super,S,S-action,7
104,beer,drunk,S,S-context,S,S-context,3
105,bikini,beach,S,S-loc,S,S-loc,14
106,bikini,swimsuit,T,T-super,T,T-super,6
107,bikini,wax,S,S-action,S,S-action,2
108,blood,gore,I,I-contin,S,S-obj,2
109,blood,guts,T,T-coord,S,S-obj,3
110,blood,red,E,E-prop,E,E-prop,17
111,blood,relative,I,I-contin,I,I-contin,3
112,body,human,T,T-sub,T,T-sub,3
113,body,soul,T,T-ant,T,T-ant,4
114,bomb,atom,T,T-sub,T,T-sub,2
115,bomb,blast,E,E-beh,E,E-beh,2
116,bomb,explode,E,E-beh,E,E-beh,7
117,bomb,explosion,E,E-beh,E,E-beh,8
118,bone,broken,S,S-targetstate,S,S-targetstate,2
119,bone,dog,S,S-agent,S,S-agent,6
120,box,cardboard,E,E-comp,T,T-sub,9
121,box,carton,E,E-comp,T,T-coord,2
122,box,cutter,S,S-obj,S,S-obj,2
123,boxing,gloves,S,S-obj,S,S-obj,10
124,boyfriend,gay,S,S-targetstate,S,S-targetstate,1
125,boyfriend,girlfriend,T,T-ant,T,T-ant,15
126,boyfriend,love,I,I-emo,I,I-emo,7
127,boyfriend,lover,T,T-coord,E,E-prop,4
128,boyfriend,partner,T,T-super,E,E-comp,4
129,bra,strap,E,E-comp,E,E-comp,5
130,brand,jeans,S,S-context,S,S-context,1
131,bread,loaf,E,E-whole,E,E-whole,3
132,bread,wheat,E,E-comp,E,E-prop,9
133,breakfast,cereal,T,T-sub,T,T-sub,5
134,breakfast,eggs,T,T-sub,S,S-obj,9
135,breakfast,food,S,S-obj,S,S-obj,8
136,bride,groom,T,T-ant,T,T-ant,14
137,bride,marriage,S,S-time,S,S-time,5
138,bride,white,E,E-prop,E,E-prop,11
139,bride,wife,E,E-prop,E,E-prop,5
140,brother,friend,I,I-eval,T,T-syn,3
141,brother,kin,T,T-super,T,T-sub,1
142,brother,mother,T,T-coord,T,T-coord,7
143,brother,sibling,T,T-super,T,T-super,9
144,brother,sister,T,T-ant,T,T-ant,21
145,bullet,gun,E,E-whole,E,E-whole,24
146,bullet,wound,S,S-context,S,S-context,3
147,businessman,money,S,S-obj,S,S-obj,8
148,businessman,suit,E,E-comp,E,E-comp,13
149,butter,bread,S,S-obj,S,S-obj,11
150,butter,fat,E,E-comp,E,E-comp,6
151,butter,margarine,T,T-sub,T,T-syn,5
152,cake,chocolate,E,E-comp,T,T-sub,7
153,cake,eat,S,S-action,S,S-action,4
154,cake,icing,E,E-comp,E,E-comp,6
155,cancer,breast,T,T-sub,T,T-sub,2
156,cancer,sick,S,S-context,E,E-state,4
157,candle,flame,E,E-comp,E,E-comp,14
158,candle,light,S,S-function,S,S-function,19
159,capital,building,S,S-action,S,S-obj,2
160,capital,money,E,E-comp,E,E-comp,9
161,capital,state,E,E-whole,E,E-whole,3
162,capitalism,America,S,S-loc,I,I-contin,5
163,capitalism,economy,E,E-whole,E,E-whole,2
164,capitalism,Marx,I,I-contin,I,I-contin,2
165,carrot,juice,E,E-comp,E,E-comp,2
166,carrot,rabbit,S,S-agent,S,S-agent,9
167,castle,fort,T,T-coord,T,T-sub,3
168,castle,king,S,S-agent,S,S-agent,6
169,castle,medieval,E,E-prop,E,E-prop,4
170,castle,stone,E,E-comp,E,E-comp,8
171,cat,dog,T,T-coord,T,T-coord,20
172,cat,mouse,T,T-coord,T,T-coord,4
173,ceiling,top,T,T-syn,E,E-state,7
174,cell,biology,E,E-whole,E,E-whole,7
175,cell,wall,E,E-comp,E,E-comp,3
176,challenge,accepted,S,S-action,S,S-action,3
177,challenge,difficult,I,I-eval,I,I-eval,6
178,challenge,hard,I,I-eval,I,I-eval,8
179,challenge,task,T,T-super,S,S-obj,3
180,challenge,win,S,S-action,S,S-action,2
181,champagne,bubbles,T,T-syn,E,E-prop,8
182,champagne,bubbly,E,E-prop,E,E-prop,8
183,champagne,glass,S,S-obj,S,S-obj,5
184,champion,best,E,E-prop,E,E-prop,5
185,champion,hero,T,T-super,T,T-syn,1
186,champion,win,S,S-action,S,S-action,1
187,chemistry,biology,T,T-coord,T,T-coord,5
188,chemistry,chemicals,S,S-obj,S,S-obj,5
189,chemistry,lab,S,S-loc,S,S-loc,4
190,chemistry,physics,T,T-coord,T,T-coord,4
191,cherry,picker,S,S-agent,S,S-obj,2
192,cherry,tree,E,E-comp,E,E-comp,6
193,childhood,friends,S,S-agent,S,S-agent,2
194,childhood,fun,I,I-eval,I,I-eval,4
195,childhood,memories,S,S-obj,S,S-time,5
196,childhood,youth,I,I-contin,I,I-contin,4
197,chimney,brick,E,E-comp,E,E-comp,5
198,chimney,fire,S,S-obj,S,S-obj,11
199,chimney,smoke,S,S-obj,S,S-obj,13
200,chin,cleft,E,E-comp,E,E-comp,3
201,chin,double,S,S-targetstate,S,S-targetstate,4
202,chocolate,brown,E,E-prop,E,E-prop,9
203,cigar,cigarette,T,T-coord,T,T-coord,8
204,cigar,Cuba,T,T-sub,T,T-sub,3
205,cigar,Cuban,T,T-sub,T,T-sub,5
206,cigar,smoke,S,S-obj,S,S-obj,21
207,cigarette,smoke,S,S-action,E,E-beh,22
208,cinema,film,S,S-obj,S,S-obj,11
209,cinema,movie,S,S-obj,S,S-obj,19
210,cinema,movies,T,T-syn,S,S-obj,5
211,cinema,theater,T,T-syn,T,T-syn,11
212,city,state,E,E-whole,E,E-whole,3
213,city,urban,E,E-prop,E,E-prop,5
214,cliff,edge,E,E-comp,E,E-comp,6
215,cliff,fall,S,S-action,S,S-action,8
216,cliff,mountain,E,E-whole,E,E-whole,4
217,cloud,fluffy,E,E-prop,E,E-prop,7
218,cloud,rain,S,S-obj,S,S-obj,12
219,cloud,sky,S,S-loc,S,S-loc,16
220,cloud,white,E,E-prop,E,E-prop,9
221,clown,funny,I,I-eval,I,I-eval,6
222,clown,makeup,E,E-comp,E,E-comp,5
223,clown,nose,E,E-comp,E,E-comp,5
224,coach,bus,T,T-syn,T,T-syn,6
225,coach,football,S,S-time,S,S-time,5
226,coach,purse,T,T-super,S,S-context,2
227,coach,teacher,T,T-coord,E,E-prop,4
228,coach,team,S,S-agent,S,S-obj,9
229,coconut,milk,E,E-comp,E,E-comp,14
230,coconut,oil,E,E-comp,E,E-comp,4
231,coconut,palm,E,E-whole,E,E-whole,5
232,coconut,tree,E,E-whole,E,E-whole,8
233,coffin,box,T,T-super,E,E-comp,4
234,coffin,death,S,S-context,S,S-context,14
235,colony,bacteria,E,E-comp,T,T-sub,2
236,comedy,fun,I,I-eval,E,E-prop,4
237,comedy,funny,I,I-eval,E,E-prop,16
238,comedy,humor,E,E-prop,E,E-prop,2
239,comment,opinion,T,T-coord,T,T-coord,10
240,comment,remark,T,T-coord,T,T-syn,2
241,comment,say,S,S-action,S,S-action,7
242,comment,speak,S,S-action,S,S-action,5
243,comment,word,E,E-comp,S,S-obj,2
244,community,church,T,T-sub,S,S-loc,2
245,community,group,T,T-super,E,E-comp,7
246,community,neighborhood,T,T-sub,T,T-sub,5
247,community,people,E,E-comp,E,E-whole,8
248,community,town,T,T-sub,T,T-super,4
249,company,friend,T,T-syn,S,S-agent,3
250,company,friends,T,T-syn,S,S-agent,9
251,competitor,athlete,T,T-sub,T,T-sub,3
252,competitor,business,T,T-sub,T,T-sub,4
253,competitor,competition,S,S-time,E,E-whole,6
254,computer,PC,T,T-sub,T,T-sub,2
255,computer,screen,S,S-obj,E,E-comp,4
256,concert,music,E,E-prop,E,E-comp,21
257,concert,orchestra,S,S-agent,S,S-obj,3
258,concert,symphony,S,S-targetstate,S,S-targetstate,2
259,conclusion,done,S,S-targetstate,E,E-prop,3
260,control,power,E,E-prop,E,E-prop,8
261,core,abs,T,T-syn,S,S-obj,1
262,core,apple,E,E-whole,E,E-whole,19
263,core,center,T,T-syn,E,E-prop,14
264,core,earth,E,E-whole,E,E-whole,10
265,core,middle,T,T-syn,E,E-prop,4
266,corn,chips,S,S-targetstate,E,E-comp,1
267,corn,cob,E,E-whole,E,E-whole,13
268,corn,field,S,S-loc,S,S-loc,6
269,corner,angle,E,E-prop,E,E-prop,2
270,corner,edge,E,E-prop,E,E-prop,4
271,corner,room,E,E-whole,E,E-whole,4
272,corner,street,S,S-loc,S,S-loc,4
273,corridor,hall,T,T-coord,T,T-coord,10
274,corridor,hallway,T,T-syn,T,T-coord,17
275,corridor,house,E,E-whole,E,E-whole,1
276,corridor,long,E,E-prop,E,E-state,3
277,cotton,ball,E,E-whole,E,E-comp,4
278,cotton,cloth,E,E-whole,E,E-comp,2
279,cotton,clothes,E,E-whole,E,E-comp,6
280,cotton,wool,T,T-coord,S,S-targetstate,5
281,country,home,S,S-targetstate,S,S-targetstate,2
282,crab,legs,E,E-comp,E,E-comp,3
283,cream,pie,S,S-obj,S,S-obj,2
284,credit,debit,T,T-ant,T,T-ant,4
285,credit,due,E,E-prop,E,E-prop,3
286,crime,criminal,S,S-agent,S,S-agent,6
287,crime,jail,S,S-loc,S,S-loc,4
288,crime,punishment,S,S-action,S,S-action,8
289,cucumber,cool,I,I-contin,E,E-prop,5
290,cucumber,pickle,E,E-state,T,T-sub,4
291,cucumber,salad,E,E-whole,E,E-whole,13
292,culture,art,S,S-obj,E,E-comp,4
293,culture,arts,S,S-obj,E,E-comp,2
294,culture,civilization,T,T-syn,E,E-whole,1
295,cup,coffee,S,S-obj,S,S-obj,10
296,cup,saucer,S,S-obj,S,S-obj,5
297,cup,tea,S,S-obj,S,S-obj,12
298,curtain,rod,S,S-obj,S,S-obj,3
299,curtain,window,S,S-loc,S,S-obj,11
300,date,day,E,E-comp,E,E-comp,4
301,date,night,S,S-time,S,S-time,3
302,date,time,T,T-coord,S,S-time,7
303,date,today,T,T-sub,T,T-sub,3
304,daughter,mother,T,T-coord,S,S-agent,12
305,daughter,sister,T,T-coord,T,T-super,4
306,daughter,son,T,T-ant,T,T-ant,14
307,dawn,breaking,S,S-action,S,S-action,2
308,dawn,day,S,S-time,E,E-comp,4
309,dawn,dusk,T,T-ant,T,T-ant,7
310,dawn,morning,S,S-time,E,E-prop,15
311,dawn,sun,S,S-obj,S,S-obj,11
312,deer,doe,T,T-sub,T,T-sub,7
313,deer,headlights,S,S-obj,S,S-obj,4
314,deer,hunt,S,S-action,S,S-action,2
315,democracy,America,I,I-contin,T,T-sub,3
316,democracy,freedom,E,E-prop,E,E-prop,6
317,democracy,government,E,E-whole,S,S-action,9
318,democracy,Greece,I,I-contin,T,T-sub,4
319,democracy,republic,E,E-whole,E,E-whole,2
320,dentist,doctor,T,T-super,T,T-coord,5
321,dentist,pain,S,S-context,S,S-context,8
322,depth,breadth,T,T-ant,T,T-ant,5
323,depth,ocean,S,S-obj,S,S-obj,9
324,depth,sea,E,E-whole,S,S-obj,4
325,destination,end,T,T-syn,E,E-prop,4
326,destination,journey,S,S-action,S,S-action,4
327,destination,place,T,T-super,E,E-prop,6
328,destination,travel,S,S-time,S,S-action,11
329,destination,trip,S,S-action,S,S-action,6
330,diamond,jewelry,T,T-super,T,T-super,4
331,dictionary,book,T,T-super,T,T-super,7
332,dictionary,definition,E,E-comp,E,E-comp,3
333,dignity,class,T,T-coord,T,T-coord,1
334,dignity,honor,T,T-coord,T,T-coord,8
335,dignity,poise,T,T-coord,T,T-coord,2
336,dignity,pride,T,T-coord,T,T-coord,13
337,dignity,respect,T,T-coord,T,T-coord,11
338,dinner,eat,S,S-action,S,S-action,5
339,dinner,lunch,T,T-coord,T,T-coord,6
340,dinner,supper,T,T-coord,T,T-syn,11
341,dinosaur,old,E,E-prop,E,E-prop,8
342,dishwasher,clean,S,S-targetstate,S,S-function,8
343,dishwasher,machine,T,T-super,T,T-super,3
344,divorce,separate,S,S-action,S,S-action,5
345,divorce,separation,S,S-context,S,S-action,5
346,divorce,split,S,S-action,S,S-action,6
347,doctor,medical,E,E-prop,E,E-prop,3
348,doctor,nurse,T,T-coord,S,S-agent,8
349,dog,bark,E,E-beh,E,E-beh,3
350,dog,cat,T,T-coord,T,T-coord,18
351,dog,pet,T,T-super,T,T-super,6
352,dolphin,fish,T,T-super,S,S-agent,8
353,donkey,ass,T,T-syn,T,T-coord,18
354,donkey,mule,T,T-sub,T,T-coord,10
355,door,open,E,E-state,E,E-state,13
356,door,opening,T,T-super,E,E-state,4
357,door,window,S,S-obj,S,S-obj,9
358,drum,band,S,S-agent,S,S-obj,3
359,drum,bang,S,S-action,S,S-action,5
360,drum,bass,T,T-coord,S,S-obj,4
361,drum,percussion,T,T-super,E,E-whole,2
362,ear,hear,S,S-function,E,E-beh,10
363,ear,hearing,E,E-prop,E,E-prop,7
364,ear,wax,E,E-comp,E,E-comp,4
365,earring,diamond,E,E-comp,E,E-comp,5
366,earring,ear,S,S-obj,S,S-obj,9
367,earring,gold,E,E-comp,E,E-comp,7
368,earring,hoop,E,E-prop,E,E-prop,2
369,earth,blue,E,E-prop,E,E-prop,4
370,earth,planet,T,T-super,T,T-super,14
371,earthquake,shake,S,S-action,S,S-action,11
372,earthquake,tremor,T,T-syn,E,E-beh,6
373,education,knowledge,S,S-obj,S,S-function,3
374,education,learning,S,S-action,S,S-action,5
375,efficiency,fast,I,I-contin,E,E-prop,7
376,efficiency,quick,I,I-contin,E,E-prop,6
377,efficiency,speed,I,I-contin,E,E-prop,4
378,efficiency,work,S,S-action,S,S-action,5
379,election,rigged,S,S-context,S,S-targetstate,2
380,element,chemical,T,T-super,E,E-whole,2
381,element,metal,T,T-sub,E,E-comp,2
382,element,science,S,S-obj,S,S-obj,5
383,empire,kingdom,T,T-coord,T,T-sub,7
384,empire,Star Wars,I,I-contin,S,S-obj,3
385,empire,state,T,T-syn,E,E-comp,7
386,enemy,evil,I,I-eval,I,I-eval,3
387,energy,electricity,S,S-obj,E,E-prop,2
388,energy,high,E,E-state,E,E-state,1
389,entertainment,fun,I,I-eval,E,E-prop,9
390,entertainment,movie,T,T-sub,T,T-sub,8
391,entertainment,movies,T,T-sub,T,T-sub,6
392,envelope,mail,T,T-super,S,S-obj,14
393,envelope,paper,E,E-comp,E,E-comp,5
394,evidence,court,S,S-loc,S,S-loc,5
395,evidence,crime,S,S-time,S,S-time,7
396,evidence,facts,E,E-comp,E,E-prop,2
397,exam,bar,T,T-sub,T,T-sub,0
398,exam,examination,S,S-time,S,S-time,3
399,exam,test,T,T-super,E,E-comp,26
400,eye,glasses,S,S-obj,S,S-obj,6
401,eye,see,S,S-function,E,E-beh,9
402,eye,sight,E,E-prop,E,E-prop,6
403,eyebrow,eye,S,S-obj,E,E-whole,7
404,eyebrow,face,E,E-whole,E,E-whole,6
405,eyebrow,piercing,S,S-obj,S,S-obj,2
406,face,visage,T,T-syn,T,T-syn,3
407,factory,build,S,S-action,S,S-action,2
408,family,friends,T,T-coord,S,S-agent,5
409,family,mom,T,T-sub,T,T-sub,2
410,family,mother,T,T-sub,T,T-sub,2
411,farm,cows,S,S-obj,S,S-obj,3
412,farm,house,T,T-super,T,T-super,4
413,feedback,critique,T,T-coord,T,T-syn,2
414,feedback,information,T,T-super,E,E-comp,2
415,feedback,loop,E,E-prop,E,E-prop,4
416,feedback,positive,E,E-prop,E,E-prop,6
417,feedback,response,T,T-super,E,E-comp,11
418,festival,carnival,T,T-sub,T,T-coord,7
419,festival,celebration,T,T-super,S,S-action,4
420,festival,music,S,S-obj,S,S-obj,7
421,festival,party,T,T-coord,S,S-context,14
422,fish,food,T,T-super,T,T-sub,5
423,fish,water,S,S-loc,S,S-loc,6
424,fishing,fish,S,S-obj,S,S-agent,9
425,flour,baking,S,S-action,S,S-action,11
426,flour,bread,E,E-whole,E,E-whole,10
427,flour,cake,E,E-whole,E,E-whole,7
428,flour,white,E,E-prop,E,E-beh,9
429,flower,petal,E,E-comp,E,E-comp,4
430,flower,rose,T,T-sub,T,T-sub,8
431,flower,smell,S,S-action,S,S-action,3
432,flute,champagne,S,S-obj,S,S-obj,3
433,flute,piccolo,T,T-sub,T,T-coord,3
434,fog,cloud,T,T-coord,E,E-whole,7
435,fog,horn,S,S-obj,S,S-obj,2
436,fog,London,S,S-loc,S,S-loc,4
437,football,ball,S,S-obj,E,E-prop,4
438,football,game,S,S-time,S,S-time,6
439,forest,green,E,E-prop,E,E-prop,11
440,forest,tree,E,E-comp,E,E-comp,5
441,forest,trees,E,E-comp,E,E-comp,22
442,forest,woods,T,T-coord,T,T-coord,5
443,fork,knife,T,T-coord,T,T-coord,19
444,fox,clever,E,E-prop,E,E-prop,3
445,fox,hound,S,S-agent,S,S-agent,5
446,fox,sly,E,E-prop,E,E-prop,6
447,frame,door,E,E-comp,E,E-comp,2
448,frame,glass,E,E-comp,E,E-comp,2
449,frame,window,E,E-comp,E,E-comp,3
450,freedom,America,I,I-contin,I,I-contin,6
451,freedom,eagle,I,I-contin,S,S-agent,3
452,freedom,flag,I,I-contin,S,S-obj,4
453,friend,best,S,S-targetstate,S,S-targetstate,5
454,friendship,fun,I,I-eval,I,I-eval,2
455,friendship,love,T,T-coord,E,E-prop,10
456,frog,croak,E,E-beh,E,E-beh,3
457,frog,green,E,E-prop,E,E-prop,12
458,frog,leap,E,E-beh,E,E-beh,5
459,fruit,apple,T,T-sub,T,T-sub,16
460,fruit,banana,T,T-sub,T,T-sub,9
461,fruit,orange,T,T-sub,T,T-sub,7
462,fruit,salad,E,E-whole,E,E-whole,3
463,fruit,vegetable,T,T-ant,T,T-ant,4
