cue,response,humanA1,humanA2,humanB1,humanB2,frequency,model1,model2
activity,exercise,T,T-sub,T,T-sub,6,T,T-syn
activity,game,T,T-sub,T,T-sub,2,T,T-syn
activity,movement,T,T-sub,T,T-sub,4,T,T-syn
activity,play,T,T-sub,T,T-sub,7,S,S-action
activity,sport,T,T-sub,T,T-sub,4,T,T-super
adventure,fun,I,I-eval,I,I-eval,8,I,I-eval
adventure,map,S,S-obj,S,S-obj,1,S,S-obj
air,oxygen,E,E-comp,E,E-comp,9,E,E-comp
air,plane,S,S-obj,S,S-obj,5,S,S-obj
airport,airplane,S,S-obj,S,S-obj,3,S,S-loc
airport,fly,S,S-action,S,S-action,3,S,S-action
alcohol,beer,T,T-sub,T,T-sub,10,T,T-coord
alcohol,booze,T,T-syn,T,T-syn,8,T,T-syn
alcohol,wine,T,T-sub,T,T-sub,5,T,T-sub
ambulance,accident,S,S-time,S,S-time,4,S,S-loc
ambulance,emergency,S,S-time,S,S-time,13,S,S-function
anchor,boat,E,E-whole,E,E-whole,12,E,E-whole
anchor,ship,E,E-whole,E,E-whole,17,E,E-whole
apartment,condo,T,T-syn,T,T-syn,3,T,T-coord
apartment,flat,T,T-syn,T,T-syn,7,T,T-syn
apple,core,E,E-comp,E,E-comp,3,E,E-comp
apple,fruit,T,T-super,T,T-super,11,T,T-super
apple,orange,T,T-coord,T,T-coord,9,T,T-coord
apple,pear,T,T-coord,T,T-coord,6,T,T-coord
arrest,cops,S,S-agent,S,S-agent,2,S,S-agent
arrest,crime,S,S-time,S,S-time,6,S,S-action
arrest,police,S,S-agent,S,S-agent,16,S,S-agent
arrow,point,E,E-comp,E,E-comp,5,E,E-comp
art,painting,T,T-sub,T,T-sub,10,T,T-super
atom,small,E,E-prop,E,E-prop,8,E,E-prop
attack,war,S,S-time,S,S-time,6,S,S-time
attitude,mood,T,T-coord,T,T-coord,1,T,T-syn
attitude,outlook,T,T-syn,T,T-syn,3,T,T-syn
audience,people,E,E-comp,E,E-comp,6,T,T-syn
author,book,S,S-obj,S,S-obj,22,T,T-super
author,books,S,S-obj,S,S-obj,3,S,S-obj
autumn,fall,T,T-syn,T,T-syn,22,T,T-syn
autumn,leaves,S,S-obj,S,S-obj,24,E,E-comp
autumn,orange,S,S-context,S,S-context,4,E,E-prop
autumn,season,T,T-sub,T,T-sub,4,T,T-super
autumn,spring,T,T-coord,T,T-coord,4,T,T-ant
balance,equal,E,E-prop,E,E-prop,4,T,T-syn
balance,even,E,E-prop,E,E-prop,4,T,T-syn
balance,scale,S,S-obj,S,S-obj,5,T,T-syn
balance,scales,S,S-obj,S,S-obj,3,T,T-syn
ball,base,S,S-obj,S,S-obj,5,S,S-obj
ball,round,E,E-prop,E,E-prop,8,E,E-prop
ballet,dancing,S,S-action,S,S-action,2,S,S-action
ballet,tutu,S,S-obj,S,S-obj,5,S,S-obj
balloon,round,E,E-prop,E,E-prop,4,E,E-prop
bamboo,grass,T,T-coord,T,T-coord,3,T,T-super
banana,apple,T,T-coord,T,T-coord,3,T,T-coord
banana,fruit,T,T-super,T,T-super,18,T,T-super
banana,peel,E,E-comp,E,E-comp,5,E,E-comp
banana,yellow,E,E-prop,E,E-prop,21,E,E-prop
bandage,blood,S,S-obj,S,S-obj,6,S,S-obj
bandage,wound,S,S-obj,S,S-obj,13,S,S-obj
baseball,America,S,S-loc,S,S-loc,3,S,S-loc
baseball,game,T,T-super,T,T-super,5,T,T-super
baseball,sport,T,T-super,T,T-super,6,T,T-super
basement,cellar,T,T-syn,T,T-syn,9,T,T-syn
basket,container,T,T-super,T,T-super,4,T,T-syn
basket,weave,S,S-action,S,S-action,7,S,S-action
basketball,baseball,T,T-coord,T,T-coord,3,T,T-coord
basketball,sport,T,T-super,T,T-super,5,T,T-super
basketball,sports,T,T-super,T,T-super,3,T,T-super
bat,animal,T,T-super,T,T-super,4,T,T-super
bat,black,E,E-prop,E,E-prop,4,E,E-prop
bat,wings,E,E-comp,E,E-comp,3,E,E-comp
beach,sun,S,S-obj,S,S-obj,11,S,S-loc
bear,animal,T,T-super,T,T-super,6,T,T-super
bear,grizzly,T,T-sub,T,T-sub,7,T,T-sub
beast,animal,T,T-syn,T,T-syn,14,T,T-syn
bed,cot,T,T-sub,T,T-sub,2,T,T-syn
bed,sleep,S,S-action,S,S-action,25,S,S-function
bee,buzz,E,E-beh,E,E-beh,5,E,E-beh
bee,insect,T,T-super,T,T-super,4,T,T-super
beef,chicken,T,T-coord,T,T-coord,1,T,T-coord
beef,dinner,S,S-time,S,S-time,3,S,S-obj
beef,meat,T,T-super,T,T-super,13,T,T-super
beer,wine,T,T-coord,T,T-coord,4,T,T-coord
bikini,small,E,E-prop,E,E-prop,2,E,E-prop
bikini,summer,S,S-time,S,S-time,4,S,S-time
bird,flight,E,E-beh,E,E-beh,5,E,E-beh
bird,fly,E,E-beh,E,E-beh,16,E,E-beh
bird,free,I,I-contin,I,I-contin,1,I,I-emo
bird,robin,T,T-sub,T,T-sub,3,T,T-sub
bird,wings,E,E-comp,E,E-comp,7,E,E-comp
blackboard,chalk,S,S-obj,S,S-obj,27,S,S-obj
blackboard,chalkboard,T,T-syn,T,T-syn,2,T,T-syn
blackboard,school,S,S-loc,S,S-loc,16,S,S-loc
blackboard,teacher,S,S-agent,S,S-agent,9,S,S-agent
blackboard,whiteboard,T,T-ant,T,T-ant,5,T,T-coord
body,corpus,T,T-syn,T,T-syn,3,T,T-syn
body,mind,T,T-ant,T,T-ant,4,I,I-contin
bomb,terrorist,S,S-agent,S,S-agent,2,S,S-agent
bone,marrow,E,E-comp,E,E-comp,7,E,E-comp
bone,skeleton,E,E-whole,E,E-whole,10,E,E-whole
bone,white,E,E-prop,E,E-prop,8,E,E-prop
box,container,T,T-super,T,T-super,8,T,T-syn
box,square,E,E-prop,E,E-prop,10,T,T-syn
boxing,fight,S,S-action,S,S-action,9,S,S-action
boxing,fighting,S,S-action,S,S-action,4,S,S-action
boxing,ring,S,S-loc,S,S-loc,13,S,S-loc
bra,boobs,S,S-obj,S,S-obj,6,T,T-syn
bra,breast,S,S-obj,S,S-obj,5,S,S-obj
bra,breasts,S,S-obj,S,S-obj,9,E,E-whole
bra,support,S,S-function,S,S-function,6,S,S-function
brand,cattle,S,S-obj,S,S-obj,4,S,S-action
brand,label,T,T-syn,T,T-syn,3,T,T-syn
bread,butter,S,S-obj,S,S-obj,9,S,S-obj
bread,eat,S,S-action,S,S-action,2,S,S-action
bread,food,T,T-super,T,T-super,9,T,T-super
breakfast,lunch,T,T-coord,T,T-coord,6,T,T-coord
breakfast,meal,T,T-super,T,T-super,4,T,T-syn
bride,wedding,S,S-time,S,S-time,15,S,S-agent
bridge,connect,S,S-function,S,S-function,2,S,S-function
bridge,game,T,T-super,T,T-super,2,T,T-coord
bridge,river,S,S-obj,S,S-obj,7,S,S-loc
bridge,water,S,S-obj,S,S-obj,12,S,S-loc
businessman,businesswoman,T,T-ant,T,T-ant,4,T,T-coord
businessman,work,S,S-action,S,S-action,4,S,S-function
butter,cream,T,T-coord,T,T-coord,4,T,T-coord
butter,yellow,E,E-prop,E,E-prop,7,E,E-prop
cake,birthday,S,S-time,S,S-time,8,S,S-time
cake,dessert,T,T-super,T,T-super,4,T,T-super
camel,animal,T,T-super,T,T-super,4,T,T-super
camel,desert,S,S-loc,S,S-loc,20,S,S-loc
camel,hump,E,E-comp,E,E-comp,14,E,E-comp
cancer,chemotherapy,S,S-action,S,S-action,3,S,S-obj
cancer,death,I,I-contin,I,I-contin,10,I,I-contin
cancer,disease,T,T-super,T,T-super,8,T,T-syn
candle,wax,E,E-comp,E,E-comp,15,E,E-comp
candle,wick,E,E-comp,E,E-comp,4,E,E-comp
capitalism,greed,I,I-eval,I,I-eval,7,I,I-contin
capitalism,money,S,S-obj,S,S-obj,19,S,S-obj
car,auto,T,T-syn,T,T-syn,6,T,T-syn
car,automobile,T,T-syn,T,T-syn,4,T,T-syn
car,drive,S,S-action,S,S-action,7,S,S-action
car,truck,T,T-coord,T,T-coord,4,T,T-coord
car,vehicle,T,T-super,T,T-super,5,T,T-syn
carrot,orange,E,E-prop,E,E-prop,22,E,E-prop
carrot,vegetable,T,T-super,T,T-super,11,T,T-super
castle,moat,S,S-obj,S,S-obj,4,S,S-obj
cat,animal,T,T-super,T,T-super,2,T,T-super
cat,feline,T,T-syn,T,T-syn,7,T,T-syn
cat,meow,E,E-beh,E,E-beh,6,E,E-beh
ceiling,fan,S,S-obj,S,S-obj,5,S,S-obj
ceiling,floor,T,T-ant,T,T-ant,6,T,T-ant
ceiling,roof,T,T-syn,T,T-syn,17,T,T-syn
cell,jail,E,E-whole,E,E-whole,10,T,T-super
cell,prison,E,E-whole,E,E-whole,8,T,T-syn
champagne,drink,S,S-action,S,S-action,4,S,S-action
champagne,wine,T,T-coord,T,T-coord,9,T,T-syn
champion,winner,T,T-syn,T,T-syn,16,T,T-syn
charity,donation,S,S-action,S,S-action,3,S,S-obj
charity,give,S,S-action,S,S-action,6,S,S-function
charity,giving,S,S-action,S,S-action,6,T,T-syn
charity,good,I,I-eval,I,I-eval,4,I,I-eval
charity,money,S,S-obj,S,S-obj,10,S,S-obj
chemistry,science,T,T-super,T,T-super,15,T,T-sub
cherry,fruit,T,T-super,T,T-super,13,T,T-super
cherry,red,E,E-prop,E,E-prop,17,E,E-prop
childhood,kids,S,S-agent,S,S-agent,2,T,T-super
chimney,roof,S,S-loc,S,S-loc,2,E,E-whole
chin,face,E,E-whole,E,E-whole,15,E,E-whole
chin,mouth,T,T-coord,T,T-coord,5,T,T-coord
chocolate,candy,T,T-coord,T,T-coord,5,T,T-super
chocolate,sweet,E,E-prop,E,E-prop,9,E,E-prop
cigar,tobacco,E,E-comp,E,E-comp,4,E,E-comp
cigarette,butt,E,E-comp,E,E-comp,4,E,E-comp
cigarette,cancer,I,I-contin,I,I-contin,10,I,I-contin
cigarette,cigar,T,T-coord,T,T-coord,3,T,T-coord
cigarette,fag,T,T-syn,T,T-syn,2,T,T-syn
cinema,popcorn,S,S-obj,S,S-obj,9,S,S-obj
city,London,T,T-sub,T,T-sub,3,T,T-syn
city,New York,T,T-sub,T,T-sub,3,T,T-syn
city,town,T,T-coord,T,T-coord,14,T,T-coord
cliff,rock,E,E-comp,E,E-comp,6,E,E-comp
cloud,blue,S,S-context,S,S-context,3,E,E-prop
clown,circus,S,S-loc,S,S-loc,8,S,S-loc
clown,scary,I,I-eval,I,I-eval,9,I,I-emo
coconut,brown,E,E-prop,E,E-prop,4,E,E-prop
coffin,casket,T,T-syn,T,T-syn,3,T,T-syn
coffin,dead,S,S-context,S,S-context,12,S,S-obj
coffin,grave,S,S-loc,S,S-loc,6,S,S-loc
colony,Africa,T,T-sub,T,T-sub,2,S,S-loc
colony,America,T,T-sub,T,T-sub,3,S,S-loc
colony,ant,S,S-agent,S,S-agent,5,E,E-whole
colony,ants,S,S-agent,S,S-agent,9,T,T-super
comedy,laugh,S,S-action,S,S-action,10,E,E-beh
comedy,laughter,S,S-action,S,S-action,6,E,E-beh
company,business,T,T-syn,T,T-syn,10,T,T-syn
company,corporation,T,T-syn,T,T-syn,6,T,T-syn
competitor,opponent,T,T-syn,T,T-syn,2,T,T-coord
competitor,rival,T,T-syn,T,T-syn,5,T,T-syn
computer,internet,S,S-obj,S,S-obj,8,S,S-obj
computer,laptop,T,T-sub,T,T-sub,5,T,T-coord
computer,Mac,T,T-sub,T,T-sub,3,T,T-sub
concert,hall,S,S-loc,S,S-loc,5,S,S-loc
concert,play,S,S-action,S,S-action,2,S,S-action
conclusion,end,T,T-syn,T,T-syn,20,T,T-syn
conclusion,ending,T,T-syn,T,T-syn,7,T,T-syn
conclusion,finish,T,T-syn,T,T-syn,8,T,T-syn
conclusion,summary,T,T-syn,T,T-syn,7,T,T-syn
corn,food,T,T-super,T,T-super,3,T,T-super
corn,yellow,E,E-prop,E,E-prop,9,E,E-prop
corner,store,S,S-loc,S,S-loc,5,S,S-loc
corridor,doors,S,S-obj,S,S-obj,3,E,E-comp
cotton,field,S,S-loc,S,S-loc,5,S,S-loc
country,America,T,T-sub,T,T-sub,3,T,T-sub
country,land,T,T-syn,T,T-syn,4,T,T-syn
country,nation,T,T-syn,T,T-syn,6,T,T-syn
country,USA,T,T-sub,T,T-sub,4,T,T-sub
crab,crustacean,T,T-super,T,T-super,4,T,T-super
crab,sea,S,S-loc,S,S-loc,6,S,S-loc
cream,milk,E,E-whole,E,E-whole,10,E,E-comp
cream,white,E,E-prop,E,E-prop,7,E,E-prop
credit,bank,S,S-obj,S,S-obj,4,S,S-obj
credit,money,S,S-obj,S,S-obj,8,T,T-syn
crime,bad,I,I-eval,I,I-eval,4,I,I-eval
crime,illegal,E,E-prop,E,E-prop,3,T,T-syn
crocodile,aligator,T,T-coord,T,T-coord,3,T,T-coord
crocodile,alligator,T,T-coord,T,T-coord,15,T,T-coord
crocodile,animal,T,T-super,T,T-super,3,T,T-super
crocodile,reptile,T,T-super,T,T-super,5,T,T-super
cucumber,green,E,E-prop,E,E-prop,17,E,E-prop
cucumber,vegetable,T,T-super,T,T-super,10,T,T-super
cup,drink,S,S-action,S,S-action,5,S,S-action
cup,mug,T,T-coord,T,T-coord,7,T,T-syn
curtain,drape,T,T-syn,T,T-syn,4,T,T-syn
curtain,drapes,T,T-syn,T,T-syn,3,T,T-syn
curtain,theater,S,S-loc,S,S-loc,3,S,S-loc
date,calendar,S,S-obj,S,S-obj,10,S,S-loc
daughter,girl,E,E-prop,E,E-prop,9,T,T-syn
deer,animal,T,T-super,T,T-super,6,T,T-sub
deer,antelope,T,T-coord,T,T-coord,2,T,T-coord
dentist,office,S,S-loc,S,S-loc,2,S,S-loc
dentist,teeth,S,S-obj,S,S-obj,22,S,S-agent
dentist,tooth,S,S-obj,S,S-obj,6,S,S-obj
depth,water,S,S-obj,S,S-obj,8,S,S-loc
diamond,gem,T,T-super,T,T-super,2,T,T-syn
diamond,hard,E,E-prop,E,E-prop,6,E,E-prop
diamond,shiny,E,E-prop,E,E-prop,2,E,E-prop
dictionary,thesaurus,T,T-coord,T,T-coord,3,T,T-syn
dictionary,word,E,E-comp,E,E-comp,4,S,S-obj
dictionary,words,E,E-comp,E,E-comp,23,E,E-comp
dinner,food,S,S-obj,S,S-obj,15,T,T-syn
dinner,meal,T,T-super,T,T-super,4,T,T-syn
dinosaur,ancient,E,E-prop,E,E-prop,3,E,E-prop
dinosaur,extinct,E,E-prop,E,E-prop,5,E,E-state
dinosaur,reptile,T,T-super,T,T-super,5,T,T-super
dinosaur,Tyrannosaurus Rex,T,T-sub,T,T-sub,4,T,T-sub
director,actor,S,S-agent,S,S-agent,4,S,S-agent
director,boss,T,T-super,T,T-super,5,T,T-syn
director,film,S,S-obj,S,S-obj,5,S,S-obj
director,leader,T,T-super,T,T-super,5,T,T-syn
director,movie,S,S-obj,S,S-obj,12,S,S-function
dishwasher,appliance,T,T-super,T,T-super,3,T,T-super
dishwasher,dishes,S,S-obj,S,S-obj,6,S,S-obj
dishwasher,water,S,S-obj,S,S-obj,5,E,E-comp
divorce,marriage,T,T-ant,T,T-ant,13,T,T-ant
divorce,unhappy,I,I-emo,I,I-emo,2,I,I-emo
doctor,lawyer,T,T-coord,T,T-coord,4,T,T-coord
doctor,physician,T,T-syn,T,T-syn,4,T,T-syn
dog,canine,T,T-super,T,T-super,4,T,T-syn
dog,puppy,T,T-sub,T,T-sub,3,T,T-sub
dolphin,mammal,T,T-super,T,T-super,9,T,T-super
dolphin,ocean,S,S-loc,S,S-loc,8,S,S-loc
dolphin,porpoise,T,T-coord,T,T-coord,3,T,T-coord
dolphin,whale,T,T-coord,T,T-coord,4,T,T-coord
donkey,animal,T,T-super,T,T-super,5,T,T-super
donkey,horse,T,T-coord,T,T-coord,10,T,T-coord
door,entry,T,T-super,T,T-super,3,S,S-function
door,knob,E,E-comp,E,E-comp,5,E,E-comp
drum,beat,S,S-action,S,S-action,12,S,S-action
ear,lobe,E,E-comp,E,E-comp,7,E,E-comp
ear,nose,T,T-coord,T,T-coord,3,T,T-coord
earring,jewelry,T,T-super,T,T-super,11,T,T-super
earth,dirt,T,T-syn,T,T-syn,4,T,T-syn
earth,round,E,E-prop,E,E-prop,6,E,E-prop
earth,world,T,T-syn,T,T-syn,4,T,T-syn
earthquake,California,S,S-loc,S,S-loc,4,S,S-loc
earthquake,disaster,T,T-super,T,T-super,4,T,T-syn
earthquake,Japan,S,S-loc,S,S-loc,3,S,S-loc
education,school,S,S-loc,S,S-loc,17,S,S-loc
education,smart,I,I-contin,I,I-contin,4,I,I-contin
education,university,S,S-loc,S,S-loc,5,S,S-loc
efficiency,apartment,I,I-contin,I,I-contin,1,T,T-ant
election,politics,S,S-obj,S,S-obj,6,S,S-context
election,president,S,S-agent,S,S-agent,11,S,S-agent
election,vote,S,S-action,S,S-action,15,S,S-action
element,chemistry,E,E-whole,E,E-whole,8,T,T-super
element,fire,T,T-sub,T,T-sub,8,T,T-coord
empire,British,T,T-sub,T,T-sub,3,S,S-agent
enemy,bad,I,I-eval,I,I-eval,2,I,I-eval
enemy,foe,T,T-syn,T,T-syn,9,T,T-syn
enemy,friend,T,T-ant,T,T-ant,14,T,T-ant
enemy,hate,I,I-emo,I,I-emo,4,I,I-emo
energy,drink,T,T-super,T,T-super,4,T,T-syn
energy,force,T,T-syn,T,T-syn,3,T,T-syn
energy,power,S,S-function,S,S-function,8,T,T-syn
entertainment,television,S,S-obj,S,S-obj,5,S,S-obj
entertainment,TV,S,S-obj,S,S-obj,4,T,T-coord
envelope,letter,S,S-obj,S,S-obj,19,E,E-whole
envelope,lick,S,S-action,S,S-action,6,S,S-action
envelope,stamp,S,S-obj,S,S-obj,8,S,S-obj
evidence,proof,T,T-syn,T,T-syn,16,T,T-syn
evidence,trial,S,S-time,S,S-time,4,S,S-loc
exam,school,S,S-loc,S,S-loc,4,S,S-loc
exam,study,S,S-action,S,S-action,8,S,S-action
eye,ball,E,E-comp,E,E-comp,8,E,E-comp
eye,iris,E,E-comp,E,E-comp,2,E,E-comp
eyebrow,hair,E,E-comp,E,E-comp,11,E,E-comp
eyebrow,pluck,S,S-action,S,S-action,6,S,S-action
face,eyes,E,E-comp,E,E-comp,6,E,E-comp
face,head,E,E-whole,E,E-whole,4,E,E-whole
face,nose,E,E-comp,E,E-comp,7,E,E-comp
factory,made,S,S-action,S,S-action,1,S,S-function
factory,work,S,S-action,S,S-action,4,S,S-loc
factory,worker,S,S-agent,S,S-agent,5,S,S-agent
factory,workers,S,S-agent,S,S-agent,4,S,S-agent
family,home,S,S-loc,S,S-loc,3,S,S-loc
family,love,I,I-emo,I,I-emo,8,I,I-emo
farm,animal,S,S-obj,S,S-obj,6,S,S-obj
farm,animals,S,S-obj,S,S-obj,4,S,S-loc
farm,land,S,S-loc,S,S-loc,4,E,E-whole
festival,fun,I,I-eval,I,I-eval,6,I,I-eval
fire,alarm,S,S-obj,S,S-obj,2,S,S-obj
fire,flame,E,E-comp,E,E-comp,7,T,T-syn
fire,heat,E,E-prop,E,E-prop,4,E,E-prop
fire,hot,E,E-prop,E,E-prop,10,E,E-prop
fire,water,T,T-ant,T,T-ant,3,T,T-ant
fish,chips,S,S-obj,S,S-obj,2,S,S-obj
fish,swim,E,E-beh,E,E-beh,4,E,E-beh
fish,trout,T,T-sub,T,T-sub,3,T,T-sub
fishing,boat,S,S-obj,S,S-obj,7,S,S-obj
fishing,line,S,S-obj,S,S-obj,5,S,S-obj
fishing,pole,S,S-obj,S,S-obj,7,S,S-obj
fishing,rod,S,S-obj,S,S-obj,9,S,S-obj
fist,anger,I,I-emo,I,I-emo,2,I,I-emo
fist,fight,S,S-action,S,S-action,6,S,S-action
fist,hand,E,E-whole,E,E-whole,16,T,T-super
fist,hit,S,S-action,S,S-action,4,S,S-action
fist,punch,S,S-action,S,S-action,18,E,E-beh
flour,bake,S,S-action,S,S-action,5,S,S-action
flower,bloom,E,E-state,E,E-state,4,E,E-beh
flute,glass,E,E-comp,E,E-comp,2,S,S-obj
flute,instrument,T,T-super,T,T-super,8,T,T-super
flute,music,S,S-function,S,S-function,15,S,S-obj
fog,mist,T,T-syn,T,T-syn,11,T,T-syn
football,goal,S,S-obj,S,S-obj,3,S,S-obj
football,soccer,T,T-syn,T,T-syn,12,T,T-syn
football,sport,T,T-super,T,T-super,4,T,T-super
fork,eat,S,S-action,S,S-action,5,S,S-function
fork,spoon,T,T-coord,T,T-coord,21,T,T-coord
fork,utensil,T,T-super,T,T-super,4,T,T-syn
fox,animal,T,T-super,T,T-super,7,T,T-super
fox,red,E,E-prop,E,E-prop,9,E,E-prop
frame,painting,S,S-obj,S,S-obj,4,E,E-comp
frame,picture,S,S-obj,S,S-obj,25,S,S-obj
freedom,liberty,T,T-syn,T,T-syn,11,T,T-syn
friend,buddy,T,T-syn,T,T-syn,7,T,T-syn
friend,enemy,T,T-ant,T,T-ant,6,T,T-ant
friend,foe,T,T-ant,T,T-ant,4,T,T-ant
friend,pal,T,T-syn,T,T-syn,7,T,T-syn
friendship,buddy,S,S-agent,S,S-agent,2,T,T-coord
friendship,friend,S,S-agent,S,S-agent,2,T,T-super
friendship,friends,S,S-agent,S,S-agent,2,T,T-super
frog,jump,E,E-beh,E,E-beh,5,E,E-beh
frog,toad,T,T-coord,T,T-coord,10,T,T-coord
funeral,black,S,S-context,S,S-context,9,S,S-context
funeral,coffin,S,S-obj,S,S-obj,6,S,S-obj
funeral,sad,I,I-emo,I,I-emo,8,I,I-emo
furniture,chair,T,T-sub,T,T-sub,19,T,T-super
furniture,couch,T,T-sub,T,T-sub,9,T,T-super
furniture,sofa,T,T-sub,T,T-sub,7,T,T-super
furniture,store,S,S-loc,S,S-loc,4,S,S-loc
future,past,T,T-ant,T,T-ant,16,T,T-ant
future,present,T,T-coord,T,T-coord,4,T,T-ant
garage,band,S,S-obj,S,S-obj,2,S,S-loc
garage,car,S,S-obj,S,S-obj,24,S,S-loc
garden,flowers,S,S-obj,S,S-obj,12,S,S-obj
genius,Einstein,T,T-sub,T,T-sub,9,T,T-sub
ghost,ghoul,T,T-coord,T,T-coord,3,T,T-syn
ghost,phantom,T,T-coord,T,T-coord,3,T,T-syn
ghost,spirit,T,T-syn,T,T-syn,8,T,T-syn
giraffe,Africa,S,S-loc,S,S-loc,8,S,S-loc
giraffe,animal,T,T-super,T,T-super,7,T,T-super
giraffe,neck,E,E-comp,E,E-comp,14,E,E-comp
giraffe,spots,E,E-prop,E,E-prop,9,E,E-prop
giraffe,tall,E,E-prop,E,E-prop,15,E,E-prop
girlfriend,wife,I,I-contin,I,I-contin,5,T,T-coord
glass,clear,E,E-prop,E,E-prop,10,E,E-prop
glass,cup,T,T-coord,T,T-coord,6,T,T-syn
glass,drink,S,S-action,S,S-action,9,S,S-action
glass,water,S,S-obj,S,S-obj,5,S,S-obj
glass,wine,S,S-obj,S,S-obj,4,S,S-obj
goat,animal,T,T-super,T,T-super,4,T,T-super
goat,Billy,T,T-sub,T,T-sub,6,T,T-sub
goat,sheep,T,T-coord,T,T-coord,7,T,T-coord
goose,bird,T,T-super,T,T-super,6,T,T-super
goose,duck,T,T-coord,T,T-coord,9,T,T-coord
government,bad,I,I-eval,I,I-eval,1,I,I-eval
grape,fruit,T,T-super,T,T-super,15,T,T-sub
grape,purple,E,E-prop,E,E-prop,9,E,E-prop
grass,pot,T,T-syn,T,T-syn,3,I,I-contin
grass,weed,T,T-syn,T,T-syn,4,T,T-coord
guest,visitor,T,T-syn,T,T-syn,6,T,T-syn
ham,cheese,S,S-obj,S,S-obj,6,S,S-obj
hammer,hit,S,S-action,S,S-action,5,S,S-action
hammer,tool,T,T-super,T,T-super,7,T,T-super
hamster,wheel,S,S-obj,S,S-obj,11,S,S-obj
hand,finger,E,E-comp,E,E-comp,5,E,E-comp
hand,fingers,E,E-comp,E,E-comp,6,E,E-comp
handkerchief,nose,S,S-obj,S,S-obj,7,S,S-loc
heaven,angels,S,S-agent,S,S-agent,3,S,S-agent
heaven,clouds,S,S-obj,S,S-obj,7,S,S-loc
heaven,God,S,S-agent,S,S-agent,12,S,S-loc
heaven,hell,T,T-ant,T,T-ant,15,T,T-ant
height,cliff,S,S-obj,S,S-obj,1,E,E-prop
helicopter,blades,E,E-comp,E,E-comp,5,E,E-comp
helicopter,fly,S,S-function,S,S-function,8,E,E-beh
helicopter,plane,T,T-coord,T,T-coord,5,T,T-coord
helicopter,rotor,E,E-comp,E,E-comp,5,E,E-comp
hell,heaven,T,T-ant,T,T-ant,11,T,T-ant
helmet,hat,T,T-coord,T,T-coord,5,T,T-coord
helmet,protection,S,S-function,S,S-function,5,S,S-function
hen,chicken,T,T-super,T,T-super,26,T,T-syn
hen,cock,T,T-coord,T,T-coord,3,T,T-coord
hen,egg,S,S-obj,S,S-obj,15,E,E-beh
hen,eggs,S,S-obj,S,S-obj,5,E,E-comp
hen,rooster,T,T-coord,T,T-coord,11,T,T-coord
history,book,S,S-obj,S,S-obj,3,S,S-obj
hobby,activity,T,T-super,T,T-super,3,T,T-syn
honey,bee,S,S-agent,S,S-agent,14,S,S-obj
honey,bees,S,S-agent,S,S-agent,7,S,S-agent
honey,sweet,E,E-prop,E,E-prop,16,E,E-prop
horse,animal,T,T-super,T,T-super,7,T,T-super
horse,cow,T,T-coord,T,T-coord,3,T,T-coord
horse,equine,T,T-super,T,T-super,2,T,T-syn
hospital,bed,S,S-obj,S,S-obj,4,S,S-obj
hospital,doctor,S,S-agent,S,S-agent,10,S,S-loc
hospital,ill,S,S-context,S,S-context,2,S,S-targetstate
hospital,nurse,S,S-agent,S,S-agent,7,S,S-agent
hospital,sick,S,S-context,S,S-context,10,S,S-loc
humor,British,T,T-sub,T,T-sub,1,E,E-prop
humor,joke,S,S-obj,S,S-obj,6,T,T-super
humor,laugh,S,S-action,S,S-action,14,S,S-function
humor,laughter,S,S-action,S,S-action,5,S,S-obj
husband,marriage,S,S-time,S,S-time,4,S,S-obj
husband,spouse,T,T-syn,T,T-syn,7,T,T-syn
ice,cold,E,E-prop,E,E-prop,23,E,E-prop
identity,person,E,E-whole,E,E-whole,5,T,T-super
import,China,S,S-loc,S,S-loc,3,S,S-loc
impression,dent,T,T-syn,T,T-syn,2,T,T-syn
impression,idea,T,T-syn,T,T-syn,4,I,I-contin
impression,painting,T,T-sub,T,T-sub,2,T,T-coord
insect,bug,T,T-syn,T,T-syn,21,T,T-syn
insect,fly,T,T-sub,T,T-sub,4,T,T-super
insect,grasshopper,T,T-sub,T,T-sub,2,T,T-super
insurance,money,S,S-obj,S,S-obj,6,S,S-obj
