cue,response,humanA1,humanA2,humanB1,humanB2,frequency,model1,model2
insurance,policy,S,S-obj,S,S-obj,6,T,T-syn
interview,questioning,S,S-action,S,S-action,1,S,S-action
interview,talk,S,S-action,S,S-action,3,S,S-action
iron,board,S,S-obj,S,S-obj,3,S,S-obj
iron,clothes,S,S-obj,S,S-obj,3,S,S-function
iron,metal,T,T-super,T,T-super,8,T,T-super
island,ocean,S,S-loc,S,S-loc,5,S,S-loc
island,water,S,S-obj,S,S-obj,7,S,S-loc
jeans,comfortable,I,I-eval,I,I-eval,2,I,I-eval
jeans,pants,T,T-super,T,T-super,14,T,T-syn
jeans,trousers,T,T-super,T,T-super,3,T,T-syn
joke,haha,S,S-action,S,S-action,2,E,E-beh
joke,laugh,S,S-action,S,S-action,17,S,S-action
joke,laughter,S,S-action,S,S-action,2,S,S-function
kidney,bean,T,T-super,T,T-super,12,T,T-coord
kidney,liver,T,T-coord,T,T-coord,4,T,T-coord
kidney,organ,T,T-super,T,T-super,8,T,T-super
kidney,stone,S,S-obj,S,S-obj,10,E,E-comp
kidney,stones,S,S-obj,S,S-obj,3,E,E-comp
killer,murder,S,S-action,S,S-action,7,S,S-agent
killer,murderer,T,T-syn,T,T-syn,11,T,T-syn
killer,serial,T,T-sub,T,T-sub,5,T,T-super
killer,whale,T,T-super,T,T-super,5,T,T-syn
kitchen,food,S,S-obj,S,S-obj,13,S,S-obj
kitchen,sink,S,S-obj,S,S-obj,8,E,E-comp
kite,flying,S,S-action,S,S-action,3,E,E-beh
kite,string,E,E-comp,E,E-comp,9,E,E-comp
knee,elbow,T,T-coord,T,T-coord,5,T,T-coord
knee,leg,E,E-whole,E,E-whole,11,E,E-whole
knowledge,book,S,S-obj,S,S-obj,4,S,S-obj
knowledge,learning,S,S-action,S,S-action,3,I,I-contin
lake,deep,E,E-state,E,E-state,1,E,E-prop
lake,pond,T,T-coord,T,T-coord,9,T,T-coord
lake,river,T,T-coord,T,T-coord,2,T,T-coord
lake,water,E,E-comp,E,E-comp,18,E,E-comp
language,English,T,T-sub,T,T-sub,9,T,T-super
language,speak,S,S-action,S,S-action,6,S,S-action
language,tongue,T,T-syn,T,T-syn,2,E,E-comp
lantern,Chinese,T,T-sub,T,T-sub,1,I,I-contin
laser,light,E,E-comp,E,E-comp,11,E,E-comp
law,police,S,S-agent,S,S-agent,8,S,S-agent
leaf,autumn,S,S-time,S,S-time,3,S,S-time
leaf,fall,S,S-time,S,S-time,6,E,E-beh
leg,appendage,T,T-super,T,T-super,2,T,T-syn
leg,knee,E,E-comp,E,E-comp,4,E,E-comp
leg,limb,T,T-super,T,T-super,5,T,T-syn
legend,hero,S,S-agent,S,S-agent,8,T,T-syn
letter,alphabet,E,E-whole,E,E-whole,10,T,T-sub
letter,box,T,T-super,T,T-super,3,S,S-loc
lettuce,cabbage,T,T-coord,T,T-coord,4,T,T-coord
lettuce,tomato,T,T-coord,T,T-coord,5,T,T-coord
lettuce,vegetable,T,T-super,T,T-super,6,T,T-super
library,books,S,S-obj,S,S-obj,22,S,S-obj
light,dark,T,T-ant,T,T-ant,10,T,T-ant
light,heavy,T,T-ant,T,T-ant,3,T,T-ant
link,connect,T,T-syn,T,T-syn,5,T,T-syn
link,connection,T,T-syn,T,T-syn,6,T,T-syn
lobster,crab,T,T-coord,T,T-coord,7,T,T-coord
lobster,seafood,T,T-super,T,T-super,5,T,T-super
luggage,bag,T,T-sub,T,T-sub,6,T,T-syn
luggage,suitcase,T,T-sub,T,T-sub,10,T,T-syn
lunch,dinner,T,T-coord,T,T-coord,10,T,T-coord
lunch,eat,S,S-action,S,S-action,8,S,S-action
lunch,meal,T,T-super,T,T-super,5,T,T-syn
lung,organ,T,T-super,T,T-super,6,T,T-super
machine,metal,E,E-comp,E,E-comp,4,E,E-comp
mammal,animal,T,T-super,T,T-super,10,T,T-super
mammal,dog,T,T-sub,T,T-sub,3,T,T-super
mammal,human,T,T-sub,T,T-sub,10,T,T-super
mammal,whale,T,T-sub,T,T-sub,8,T,T-super
mandarin,China,S,S-loc,S,S-loc,8,S,S-loc
mandarin,fruit,T,T-super,T,T-super,5,T,T-super
mandarin,language,T,T-super,T,T-super,6,T,T-super
mandarin,orange,T,T-coord,T,T-coord,26,T,T-syn
mango,fruit,T,T-super,T,T-super,23,T,T-super
mango,orange,T,T-coord,T,T-coord,10,T,T-coord
mango,papaya,T,T-coord,T,T-coord,2,T,T-coord
mango,ripe,E,E-state,E,E-state,1,E,E-state
map,cartography,E,E-whole,E,E-whole,3,T,T-syn
market,food,S,S-obj,S,S-obj,5,S,S-obj
market,sell,S,S-action,S,S-action,6,S,S-function
marriage,husband,S,S-agent,S,S-agent,4,S,S-agent
marriage,wife,S,S-agent,S,S-agent,4,S,S-agent
material,stuff,T,T-syn,T,T-syn,4,T,T-syn
meat,beef,T,T-sub,T,T-sub,9,T,T-syn
meat,food,T,T-super,T,T-super,7,T,T-super
meat,steak,T,T-sub,T,T-sub,6,T,T-sub
meeting,boring,I,I-eval,I,I-eval,5,I,I-eval
melody,music,E,E-whole,E,E-whole,17,T,T-super
melon,fruit,T,T-super,T,T-super,10,T,T-super
method,way,T,T-syn,T,T-syn,10,T,T-syn
microscope,bacteria,S,S-obj,S,S-obj,5,S,S-obj
microscope,small,S,S-context,S,S-context,4,E,E-prop
microscope,tiny,S,S-context,S,S-context,5,E,E-prop
milk,drink,S,S-action,S,S-action,6,T,T-super
milk,white,E,E-prop,E,E-prop,11,E,E-prop
miner,mine,S,S-loc,S,S-loc,3,S,S-loc
miner,ore,S,S-obj,S,S-obj,1,S,S-obj
mint,green,E,E-prop,E,E-prop,6,E,E-prop
mint,herb,T,T-super,T,T-super,4,T,T-syn
miracle,God,S,S-agent,S,S-agent,7,S,S-agent
miracle,Jesus,S,S-agent,S,S-agent,4,S,S-agent
miracle,wonder,T,T-syn,T,T-syn,3,I,I-emo
mirror,glass,E,E-comp,E,E-comp,8,E,E-comp
mirror,reflection,E,E-prop,E,E-prop,18,E,E-prop
money,dollar,T,T-sub,T,T-sub,4,T,T-syn
money,dollars,T,T-sub,T,T-sub,4,T,T-syn
monkey,animal,T,T-super,T,T-super,3,T,T-sub
monkey,banana,S,S-obj,S,S-obj,8,S,S-obj
monkey,chimp,T,T-sub,T,T-sub,5,T,T-coord
monster,scary,I,I-eval,I,I-eval,10,I,I-emo
mood,emotion,T,T-coord,T,T-coord,6,T,T-syn
moon,night,S,S-time,S,S-time,6,S,S-time
moonlight,night,S,S-time,S,S-time,10,S,S-time
moonlight,stars,S,S-obj,S,S-obj,5,S,S-loc
mountain,climb,S,S-action,S,S-action,6,S,S-action
mountain,hill,T,T-coord,T,T-coord,6,T,T-super
mountain,snow,S,S-obj,S,S-obj,6,E,E-prop
muscle,bicep,T,T-sub,T,T-sub,3,T,T-super
museum,art,S,S-obj,S,S-obj,13,S,S-obj
museum,artifacts,S,S-obj,S,S-obj,2,S,S-obj
museum,dinosaur,S,S-obj,S,S-obj,3,S,S-obj
museum,old,S,S-context,S,S-context,7,E,E-prop
neck,kiss,S,S-action,S,S-action,4,S,S-action
necklace,jewelry,T,T-super,T,T-super,14,T,T-super
news,information,T,T-syn,T,T-syn,8,T,T-syn
noon,midday,T,T-syn,T,T-syn,7,T,T-syn
notebook,pen,S,S-obj,S,S-obj,7,S,S-obj
novel,new,T,T-syn,T,T-syn,13,T,T-ant
novel,read,S,S-action,S,S-action,6,S,S-action
nurse,baby,S,S-agent,S,S-agent,2,S,S-agent
nurse,hospital,S,S-loc,S,S-loc,12,S,S-loc
nut,acorn,T,T-sub,T,T-sub,3,T,T-sub
nut,almond,T,T-sub,T,T-sub,4,T,T-coord
ocean,sea,T,T-coord,T,T-coord,16,T,T-syn
ocean,water,E,E-comp,E,E-comp,12,T,T-super
office,work,S,S-action,S,S-action,15,S,S-action
oil,money,I,I-contin,I,I-contin,4,I,I-contin
onion,cry,S,S-action,S,S-action,8,E,E-beh
onion,crying,S,S-action,S,S-action,2,E,E-beh
organ,body,E,E-whole,E,E-whole,5,E,E-whole
organ,heart,T,T-sub,T,T-sub,13,E,E-comp
organ,piano,T,T-coord,T,T-coord,6,T,T-coord
oven,cook,S,S-action,S,S-action,5,S,S-function
owl,bird,T,T-super,T,T-super,18,T,T-super
owl,eyes,E,E-comp,E,E-comp,8,E,E-comp
palace,castle,T,T-coord,T,T-coord,10,T,T-syn
palace,king,S,S-agent,S,S-agent,12,S,S-agent
palace,queen,S,S-agent,S,S-agent,8,S,S-loc
parachute,jump,S,S-action,S,S-action,9,S,S-action
parachute,open,S,S-targetstate,S,S-targetstate,3,E,E-state
parachute,silk,E,E-comp,E,E-comp,4,E,E-comp
paragraph,writing,S,S-action,S,S-action,9,S,S-obj
parrot,bird,T,T-super,T,T-super,20,T,T-super
parrot,pirate,S,S-agent,S,S-agent,6,S,S-agent
part,hair,S,S-obj,S,S-obj,10,S,S-obj
part,piece,T,T-syn,T,T-syn,12,T,T-syn
part,section,T,T-syn,T,T-syn,4,T,T-syn
peace,dove,I,I-contin,I,I-contin,5,I,I-contin
penguin,bird,T,T-super,T,T-super,12,T,T-super
penguin,black,E,E-prop,E,E-prop,7,E,E-prop
penguin,cold,S,S-context,S,S-context,6,E,E-prop
penguin,ice,S,S-obj,S,S-obj,5,S,S-loc
phenomenon,amazing,I,I-eval,I,I-eval,3,I,I-eval
phenomenon,event,T,T-syn,T,T-syn,6,T,T-syn
phenomenon,occurrence,T,T-syn,T,T-syn,4,T,T-syn
philosophy,Socrates,S,S-agent,S,S-agent,5,T,T-sub
photo,picture,T,T-syn,T,T-syn,21,T,T-syn
physics,astronomy,T,T-coord,T,T-coord,3,T,T-coord
physics,chemistry,T,T-coord,T,T-coord,4,T,T-coord
physics,math,T,T-coord,T,T-coord,5,T,T-coord
physics,science,T,T-super,T,T-super,17,T,T-sub
pig,bacon,I,I-contin,I,I-contin,8,E,E-beh
pig,oink,E,E-beh,E,E-beh,6,E,E-beh
pig,pink,E,E-prop,E,E-prop,10,E,E-prop
pig,snout,E,E-comp,E,E-comp,4,E,E-comp
pirate,steal,S,S-action,S,S-action,4,S,S-action
pizza,food,T,T-super,T,T-super,7,T,T-super
pizza,Italian,E,E-prop,E,E-prop,6,S,S-context
pizza,pie,T,T-coord,T,T-coord,5,T,T-syn
plan,organize,T,T-syn,T,T-syn,4,T,T-syn
platform,base,T,T-syn,T,T-syn,1,T,T-syn
platform,stage,T,T-syn,T,T-syn,11,T,T-syn
poem,sonnet,T,T-sub,T,T-sub,4,T,T-sub
poet,artist,T,T-coord,T,T-coord,3,T,T-coord
poet,Shakespeare,T,T-sub,T,T-sub,3,T,T-sub
poet,words,S,S-obj,S,S-obj,6,S,S-obj
poet,writer,T,T-coord,T,T-coord,6,T,T-coord
pork,beef,T,T-coord,T,T-coord,4,T,T-coord
poster,sign,T,T-coord,T,T-coord,2,T,T-syn
poster,wall,S,S-loc,S,S-loc,12,S,S-loc
potato,spud,T,T-syn,T,T-syn,5,T,T-syn
potato,vegetable,T,T-super,T,T-super,4,T,T-super
process,method,T,T-syn,T,T-syn,5,T,T-syn
process,procedure,T,T-syn,T,T-syn,5,T,T-syn
product,goods,T,T-syn,T,T-syn,2,T,T-syn
product,item,T,T-syn,T,T-syn,5,T,T-syn
product,result,T,T-syn,T,T-syn,3,T,T-syn
project,done,S,S-targetstate,S,S-targetstate,1,S,S-targetstate
project,task,T,T-syn,T,T-syn,4,T,T-syn
project,work,S,S-action,S,S-action,12,S,S-action
psychologist,doctor,T,T-coord,T,T-coord,9,T,T-coord
psychologist,shrink,T,T-syn,T,T-syn,8,T,T-syn
psychology,science,T,T-super,T,T-super,3,T,T-super
psychology,sociology,T,T-coord,T,T-coord,2,T,T-coord
pudding,dessert,T,T-super,T,T-super,8,T,T-super
pudding,pie,T,T-coord,T,T-coord,3,T,T-coord
pumpkin,Halloween,S,S-time,S,S-time,14,S,S-time
pumpkin,orange,E,E-prop,E,E-prop,13,E,E-prop
rabbit,ears,E,E-comp,E,E-comp,5,E,E-comp
rabbit,hop,E,E-beh,E,E-beh,4,E,E-beh
radiation,bomb,S,S-obj,S,S-obj,3,S,S-obj
radiation,X-ray,S,S-obj,S,S-obj,4,E,E-comp
radio,television,T,T-coord,T,T-coord,4,T,T-coord
rain,wet,E,E-prop,E,E-prop,14,E,E-state
rainbow,arc,E,E-prop,E,E-prop,4,E,E-prop
rainbow,colorful,E,E-prop,E,E-prop,2,E,E-prop
raincoat,wet,S,S-context,S,S-context,6,E,E-state
rape,bad,I,I-eval,I,I-eval,3,I,I-eval
rape,horrible,I,I-eval,I,I-eval,1,I,I-eval
rape,sex,S,S-action,S,S-action,5,T,T-syn
rape,woman,S,S-agent,S,S-agent,3,S,S-agent
reality,matrix,I,I-contin,I,I-contin,2,I,I-contin
record,album,T,T-syn,T,T-syn,3,T,T-syn
record,tape,T,T-coord,T,T-coord,6,T,T-coord
refugee,Africa,S,S-loc,S,S-loc,2,S,S-loc
refugee,asylum,S,S-action,S,S-action,3,S,S-loc
refugee,flee,S,S-action,S,S-action,2,E,E-beh
refugee,war,S,S-time,S,S-time,10,S,S-agent
relationship,friends,S,S-agent,S,S-agent,2,S,S-obj
relationship,girlfriend,S,S-agent,S,S-agent,3,T,T-sub
religion,Christianity,T,T-sub,T,T-sub,4,T,T-super
religion,God,S,S-agent,S,S-agent,13,S,S-obj
resident,home,S,S-loc,S,S-loc,7,S,S-loc
resident,house,S,S-loc,S,S-loc,6,S,S-loc
revenge,anger,I,I-emo,I,I-emo,10,I,I-emo
revenge,avenge,T,T-syn,T,T-syn,2,T,T-syn
revenge,mean,I,I-eval,I,I-eval,3,T,T-syn
revolution,American,T,T-sub,T,T-sub,2,S,S-loc
revolution,war,S,S-time,S,S-time,5,T,T-coord
risk,chance,T,T-syn,T,T-syn,4,T,T-syn
risk,game,T,T-super,T,T-super,8,I,I-contin
rocket,fire,S,S-obj,S,S-obj,4,S,S-obj
rocket,space,S,S-loc,S,S-loc,15,S,S-loc
roof,house,E,E-whole,E,E-whole,16,E,E-whole
roommate,college,S,S-loc,S,S-loc,6,S,S-loc
roommate,dorm,S,S-loc,S,S-loc,3,S,S-loc
roommate,share,S,S-action,S,S-action,6,S,S-action
root,tree,E,E-whole,E,E-whole,15,E,E-whole
rope,climb,S,S-action,S,S-action,5,S,S-function
rope,hang,S,S-action,S,S-action,8,S,S-action
rope,knot,S,S-obj,S,S-obj,7,S,S-obj
rope,tie,S,S-action,S,S-action,8,S,S-action
ruler,inches,S,S-obj,S,S-obj,3,E,E-comp
ruler,king,T,T-sub,T,T-sub,15,T,T-coord
ruler,measurement,S,S-function,S,S-function,4,S,S-function
sacrifice,give up,T,T-syn,T,T-syn,4,S,S-action
sacrifice,Jesus,S,S-agent,S,S-agent,4,I,I-contin
salad,healthy,I,I-eval,I,I-eval,4,I,I-eval
salmon,Alaska,S,S-loc,S,S-loc,1,S,S-loc
salmon,color,T,T-super,T,T-super,3,E,E-prop
salmon,fish,T,T-super,T,T-super,29,T,T-super
sandwich,eat,S,S-action,S,S-action,2,S,S-action
sandwich,food,T,T-super,T,T-super,5,T,T-super
satellite,space,S,S-loc,S,S-loc,19,S,S-loc
sausage,breakfast,S,S-time,S,S-time,6,S,S-obj
scandal,gossip,S,S-action,S,S-action,5,S,S-obj
scandal,newspaper,S,S-obj,S,S-obj,2,S,S-obj
scarf,knit,S,S-action,S,S-action,2,S,S-action
scarf,winter,S,S-time,S,S-time,6,S,S-loc
scholarship,smart,I,I-contin,I,I-contin,2,I,I-contin
school,education,S,S-function,S,S-function,4,T,T-syn
science,study,S,S-action,S,S-action,6,S,S-function
sculpture,art,T,T-super,T,T-super,14,T,T-super
sculpture,David,T,T-sub,T,T-sub,5,T,T-sub
sculpture,painting,T,T-coord,T,T-coord,2,T,T-coord
season,autumn,T,T-sub,T,T-sub,4,T,T-sub
season,fall,T,T-sub,T,T-sub,13,T,T-sub
season,spring,T,T-sub,T,T-sub,9,T,T-sub
season,summer,T,T-sub,T,T-sub,10,T,T-super
season,winter,T,T-sub,T,T-sub,16,T,T-sub
seaweed,beach,S,S-loc,S,S-loc,4,S,S-loc
seaweed,kelp,T,T-sub,T,T-sub,7,T,T-syn
seaweed,ocean,S,S-loc,S,S-loc,12,S,S-loc
sentence,word,E,E-comp,E,E-comp,6,E,E-whole
sentence,words,E,E-comp,E,E-comp,12,E,E-comp
shape,circle,T,T-sub,T,T-sub,11,T,T-super
shape,round,T,T-sub,T,T-sub,6,E,E-prop
shape,square,T,T-sub,T,T-sub,13,T,T-sub
shape,triangle,T,T-sub,T,T-sub,7,T,T-sub
shark,fish,T,T-super,T,T-super,11,T,T-super
sheep,animal,T,T-super,T,T-super,3,T,T-sub
shorts,legs,S,S-obj,S,S-obj,6,S,S-obj
shorts,summer,S,S-time,S,S-time,11,S,S-time
shorts,trousers,T,T-coord,T,T-coord,4,T,T-coord
silver,metal,T,T-super,T,T-super,7,T,T-super
singer,artist,T,T-super,T,T-super,3,T,T-syn
singer,music,S,S-obj,S,S-obj,7,S,S-obj
singer,song,S,S-obj,S,S-obj,10,S,S-obj
sister,sibling,T,T-super,T,T-super,9,T,T-coord
skateboard,kids,S,S-agent,S,S-agent,2,S,S-agent
skateboard,skater,S,S-agent,S,S-agent,2,S,S-agent
skateboard,wheels,E,E-comp,E,E-comp,7,E,E-comp
skin,touch,S,S-action,S,S-action,2,E,E-beh
sky,clouds,S,S-obj,S,S-obj,10,E,E-comp
slave,bad,I,I-eval,I,I-eval,1,I,I-eval
snail,slug,T,T-coord,T,T-coord,5,T,T-coord
snake,hiss,E,E-beh,E,E-beh,3,E,E-beh
snake,reptile,T,T-super,T,T-super,6,T,T-super
snake,serpent,T,T-syn,T,T-syn,5,T,T-syn
snake,slither,E,E-beh,E,E-beh,11,E,E-beh
socialism,communism,T,T-coord,T,T-coord,8,T,T-coord
socialism,Marx,S,S-agent,S,S-agent,5,S,S-agent
soldier,warrior,T,T-syn,T,T-syn,2,T,T-syn
son,boy,E,E-prop,E,E-prop,8,T,T-syn
son,father,T,T-coord,T,T-coord,9,T,T-coord
son,offspring,T,T-super,T,T-super,3,T,T-syn
soup,food,T,T-super,T,T-super,4,T,T-super
speech,talk,S,S-action,S,S-action,15,T,T-syn
spell,word,S,S-obj,S,S-obj,8,S,S-function
spell,words,S,S-obj,S,S-obj,4,S,S-obj
spider,black,E,E-prop,E,E-prop,5,E,E-prop
spider,legs,E,E-comp,E,E-comp,8,E,E-comp
spoon,food,S,S-obj,S,S-obj,4,S,S-obj
spoon,fork,T,T-coord,T,T-coord,22,T,T-coord
spoon,knife,T,T-coord,T,T-coord,12,T,T-coord
sport,baseball,T,T-sub,T,T-sub,4,T,T-super
sport,basketball,T,T-sub,T,T-sub,4,T,T-super
sport,football,T,T-sub,T,T-sub,9,T,T-super
sport,soccer,T,T-sub,T,T-sub,7,T,T-super
spring,fall,T,T-coord,T,T-coord,6,T,T-ant
spring,season,T,T-super,T,T-super,6,T,T-sub
spring,summer,T,T-coord,T,T-coord,7,T,T-coord
squirrel,animal,T,T-super,T,T-super,3,T,T-super
squirrel,cute,I,I-eval,I,I-eval,3,I,I-eval
squirrel,nut,S,S-obj,S,S-obj,7,S,S-obj
squirrel,nuts,S,S-obj,S,S-obj,12,S,S-obj
stomach,belly,T,T-syn,T,T-syn,5,T,T-syn
stomach,food,S,S-obj,S,S-obj,11,S,S-obj
stone,pebble,T,T-sub,T,T-sub,3,T,T-super
stone,rock,T,T-syn,T,T-syn,25,T,T-syn
strawberry,fruit,T,T-super,T,T-super,12,T,T-super
strawberry,red,E,E-prop,E,E-prop,15,E,E-prop
street,avenue,T,T-coord,T,T-coord,11,T,T-syn
street,lane,T,T-coord,T,T-coord,4,T,T-syn
structure,architect,S,S-agent,S,S-agent,2,S,S-agent
structure,build,S,S-action,S,S-action,1,S,S-action
structure,construction,S,S-action,S,S-action,2,T,T-syn
struggle,battle,T,T-syn,T,T-syn,2,T,T-syn
success,money,S,S-obj,S,S-obj,7,I,I-contin
suicide,dead,S,S-context,S,S-context,2,E,E-state
suicide,kill,S,S-action,S,S-action,10,S,S-action
sunrise,dawn,S,S-time,S,S-time,6,T,T-syn
sunrise,morning,S,S-time,S,S-time,12,S,S-time
sunset,beautiful,I,I-eval,I,I-eval,4,I,I-eval
sunset,dusk,S,S-time,S,S-time,2,T,T-syn
supermarket,food,S,S-obj,S,S-obj,17,S,S-obj
swan,bird,T,T-super,T,T-super,14,T,T-sub
sweater,cold,S,S-context,S,S-context,5,E,E-prop
sweater,vest,T,T-coord,T,T-coord,4,T,T-coord
sword,blade,E,E-comp,E,E-comp,4,E,E-comp
sword,weapon,T,T-super,T,T-super,6,T,T-super
tail,animal,E,E-whole,E,E-whole,5,E,E-comp
tattoo,ink,E,E-comp,E,E-comp,13,E,E-comp
tattoo,mark,T,T-super,T,T-super,4,T,T-syn
tattoo,piercing,T,T-coord,T,T-coord,1,T,T-coord
teacher,educator,T,T-syn,T,T-syn,3,T,T-syn
teacher,mentor,T,T-syn,T,T-syn,3,T,T-syn
teacher,school,S,S-loc,S,S-loc,12,S,S-loc
teacher,student,T,T-ant,T,T-ant,9,T,T-coord
teenager,young,E,E-prop,E,E-prop,8,T,T-syn
teeth,dentist,S,S-agent,S,S-agent,7,S,S-agent
teeth,mouth,S,S-loc,S,S-loc,6,E,E-whole
teeth,white,E,E-prop,E,E-prop,14,E,E-prop
telescope,lens,E,E-comp,E,E-comp,5,E,E-comp
tennis,sport,T,T-super,T,T-super,4,T,T-super
theory,idea,T,T-syn,T,T-syn,9,T,T-syn
thermometer,hot,S,S-context,S,S-context,6,E,E-prop
thermometer,sick,S,S-context,S,S-context,4,S,S-function
thermometer,temperature,E,E-prop,E,E-prop,22,E,E-prop
thief,night,S,S-time,S,S-time,2,S,S-time
throat,cough,S,S-action,S,S-action,6,E,E-beh
throat,swallow,S,S-action,S,S-action,9,S,S-action
thumb,hand,E,E-whole,E,E-whole,13,E,E-whole
tiger,animal,T,T-super,T,T-super,3,T,T-sub
tiger,cat,T,T-super,T,T-super,8,T,T-super
time,clock,S,S-obj,S,S-obj,14,T,T-syn
time,watch,S,S-obj,S,S-obj,5,S,S-obj
toe,digit,T,T-super,T,T-super,2,T,T-syn
toe,foot,E,E-whole,E,E-whole,23,E,E-whole
tongue,lick,S,S-action,S,S-action,7,E,E-beh
tongue,taste,S,S-function,S,S-function,11,E,E-beh
toothbrush,paste,S,S-obj,S,S-obj,4,S,S-obj
toothbrush,teeth,S,S-obj,S,S-obj,14,S,S-obj
toothbrush,toothpaste,S,S-obj,S,S-obj,18,S,S-obj
towel,bathroom,S,S-loc,S,S-loc,1,S,S-loc
towel,shower,S,S-obj,S,S-obj,7,S,S-loc
toy,child,S,S-agent,S,S-agent,7,S,S-obj
toy,play,S,S-action,S,S-action,11,S,S-action
tradition,holiday,S,S-time,S,S-time,4,S,S-time
tragedy,sad,I,I-emo,I,I-emo,12,I,I-emo
tragedy,sadness,I,I-emo,I,I-emo,4,I,I-emo
trap,ackbar,S,S-agent,S,S-agent,1,S,S-obj
tree,leaf,E,E-comp,E,E-comp,4,E,E-comp
truth,fact,T,T-syn,T,T-syn,3,T,T-syn
tunnel,dig,S,S-action,S,S-action,4,S,S-action
uncle,brother,T,T-coord,T,T-coord,3,T,T-coord
uncle,man,E,E-prop,E,E-prop,4,T,T-super
uncle,relative,T,T-super,T,T-super,5,T,T-super
university,study,S,S-action,S,S-action,6,S,S-function
valley,dale,T,T-syn,T,T-syn,2,T,T-syn
value,worth,T,T-syn,T,T-syn,15,T,T-syn
video,audio,T,T-ant,T,T-ant,4,T,T-coord
vinegar,acid,E,E-prop,E,E-prop,4,E,E-comp
vinegar,oil,T,T-coord,T,T-coord,8,T,T-coord
vinegar,sour,E,E-prop,E,E-prop,13,E,E-prop
violence,hurt,S,S-context,S,S-context,5,S,S-action
violin,instrument,T,T-super,T,T-super,6,T,T-super
visa,credit card,T,T-super,T,T-super,7,T,T-coord
volcano,ash,S,S-obj,S,S-obj,4,E,E-beh
volcano,erupt,E,E-beh,E,E-beh,9,E,E-beh
volleyball,sport,T,T-super,T,T-super,5,T,T-super
water,H2O,T,T-syn,T,T-syn,1,T,T-syn
water,lake,E,E-whole,E,E-whole,3,T,T-sub
watermelon,fruit,T,T-super,T,T-super,12,T,T-super
watermelon,green,E,E-prop,E,E-prop,5,E,E-prop
watermelon,red,E,E-prop,E,E-prop,7,E,E-prop
wealth,money,S,S-obj,S,S-obj,27,T,T-syn
wealth,riches,T,T-syn,T,T-syn,4,T,T-syn
weather,clouds,S,S-obj,S,S-obj,5,E,E-comp
wedding,bride,S,S-agent,S,S-agent,10,S,S-agent
wedding,marriage,T,T-syn,T,T-syn,6,T,T-syn
whale,big,E,E-prop,E,E-prop,5,E,E-prop
whale,dolphin,T,T-coord,T,T-coord,3,T,T-coord
whale,ocean,S,S-loc,S,S-loc,9,S,S-loc
wheat,field,S,S-loc,S,S-loc,5,S,S-loc
wheel,round,E,E-prop,E,E-prop,12,E,E-prop
wind,air,E,E-comp,E,E-comp,4,T,T-syn
wind,leaves,S,S-obj,S,S-obj,3,S,S-obj
wolf,animal,T,T-super,T,T-super,5,T,T-super
wolf,howl,E,E-beh,E,E-beh,7,E,E-beh
wolf,moon,S,S-obj,S,S-obj,4,S,S-time
wolf,pack,E,E-whole,E,E-whole,5,E,E-whole
woman,man,T,T-ant,T,T-ant,17,T,T-coord
world,earth,T,T-syn,T,T-syn,11,T,T-syn
world,globe,T,T-syn,T,T-syn,13,T,T-syn
wrinkle,face,S,S-loc,S,S-loc,5,E,E-comp
wrist,ankle,T,T-coord,T,T-coord,3,T,T-coord
yoga,exercise,T,T-super,T,T-super,6,T,T-syn
yogurt,food,T,T-super,T,T-super,2,T,T-super
zoo,tiger,S,S-agent,S,S-agent,2,S,S-obj
zoo,zebra,S,S-agent,S,S-agent,3,S,S-obj
wealth,rich,E,E-state,E,E-state,11,T,T-syn
shadow,sun,S,S-obj,S,S-obj,6,S,S-obj
library,reading,S,S-action,S,S-action,3,S,S-loc
businessman,briefcase,S,S-obj,S,S-obj,6,S,S-obj
daughter,child,E,E-prop,T,T-super,7,T,T-sub
logic,puzzle,S,S-obj,S,S-obj,3,S,S-obj
neck,beard,S,S-obj,S,S-obj,2,E,E-comp
