cue,response,frequency,model1,model2,human1,human2
ability,capability,1,T,T-syn,T,T-syn
absolute,sure,1,T,T-syn,T,T-syn
adept,smart,1,T,T-syn,E,E-prop
admiral,chief,1,T,T-syn,T,T-coord
agent,person,1,T,T-cat,S,S-them
agent,represent,1,S,S-action,S,S-func
agreeable,willing,1,T,T-syn,T,T-syn
airport,runway,1,E,E-part,S,S-loc
amass,army,1,S,S-action,S,S-action
amass,collect,1,T,T-syn,T,T-syn
amass,fortune,1,S,S-result,S,S-action
amiable,popular,1,T,T-syn,S,S-result
amiable,warm,1,T,T-syn,E,E-prop
anger,mad,1,T,T-syn,T,T-syn
angles,triangle,3,E,E-part,E,E-part
appointment,early,1,S,S-time,S,S-time
appointment,late,1,S,S-result,S,S-time
appointment,time,1,S,S-time,S,S-time
attend,present,1,S,S-action,T,T-syn
attend,problem,1,S,S-action,S,S-action
awful,rude,1,T,T-syn,T,T-syn
bagpipe,kilt,1,S,S-them,S,S-them
baked,fried,1,T,T-ant,T,T-coord
baked,oven,1,S,S-loc,S,S-loc
bastard,mean,1,T,T-syn,E,E-prop
believable,trustworthy,2,T,T-syn,T,T-syn
belong,group,1,S,S-action,I,I-emo
biblical,eden,1,S,S-loc,S,S-them
bibliography,paper,1,E,E-part,E,E-part
bibliography,source,1,S,S-func,E,E-part
bibliography,title,1,E,E-part,E,E-part
blender,fruits,1,S,S-func,S,S-func
bodily,alive,1,E,E-prop,E,E-prop
bodily,warm,1,E,E-prop,E,E-prop
brave,tough,1,T,T-syn,T,T-syn
break,crack,1,T,T-syn,S,S-result
break,split,1,T,T-syn,S,S-result
breath,gum,1,S,S-them,S,S-func
breath,inhale,1,S,S-action,S,S-action
breath,oxygen,1,E,E-part,S,S-result
bridge,drive,1,S,S-loc,S,S-action
bright,light,2,E,E-prop,E,E-prop
bright,smart,3,T,T-syn,T,T-syn
bring,carry,1,T,T-syn,T,T-cat
bring,share,1,S,S-action,S,S-result
bring,take,1,T,T-syn,S,S-preq
broken,car,1,S,S-them,E,E-prop
brought,took,1,T,T-syn,T,T-ant
bucket,wash,1,S,S-func,S,S-func
buddy,together,1,S,S-them,I,I-emo
bunch,bananas,1,E,E-part,S,S-them
bunch,grapes,1,E,E-part,S,S-them
bunch,roses,1,T,T-coord,S,S-them
career,money,2,S,S-result,S,S-func
career,work,1,T,T-syn,T,T-cat
careful,cautious,1,T,T-syn,T,T-syn
careful,safe,1,T,T-syn,T,T-syn
carnivore,prey,1,T,T-cat,S,S-action
carrying,child,1,S,S-action,S,S-action
casino,money,4,S,S-them,S,S-loc
castle,huge,1,E,E-prop,E,E-prop
castle,medieval,1,S,S-loc,S,S-time
castle,stone,1,E,E-mat,E,E-mat
catcher,ball,3,S,S-func,S,S-action
certain,sure,1,T,T-syn,T,T-syn
champagne,beer,1,T,T-coord,T,T-coord
champagne,celebration,1,S,S-them,S,S-loc
change,tire,1,S,S-action,S,S-action
chanting,crowd,3,S,S-them,S,S-action
charity,humanitarian,1,T,T-coord,T,T-cat
chart,visual,1,E,E-prop,E,E-prop
chase,run,1,S,S-action,T,T-cat
chase,seek,1,T,T-syn,T,T-syn
cheap,frugal,1,T,T-syn,T,T-syn
chicken,chicks,1,E,E-part,T,T-cat
cholesterol,high,1,E,E-prop,E,E-prop
chomp,eat,3,T,T-syn,T,T-cat
classy,elegant,1,T,T-syn,T,T-syn
classy,stylist,1,S,S-them,T,T-syn
clean,neat,3,T,T-syn,T,T-syn
clench,fist,2,S,S-action,S,S-action
client,courtesy,1,S,S-them,S,S-action
client,money,1,S,S-them,S,S-result
climber,health,1,S,S-them,E,E-prop
clock,time,8,E,E-prop,S,S-func
closed,business,1,S,S-them,S,S-action
closed,window,1,S,S-them,S,S-action
clown,silly,1,E,E-prop,E,E-prop
coach,leader,1,T,T-syn,T,T-cat
coating,dusting,1,S,S-action,T,T-syn
comes,santa,1,S,S-them,S,S-action
commander,authority,1,E,E-prop,E,E-prop
commander,ship,1,S,S-loc,S,S-loc
comrade,friend,5,T,T-syn,T,T-syn
conceive,surrogate,1,S,S-preq,S,S-func
concerned,worried,1,T,T-syn,T,T-syn
contact,phone,2,S,S-action,S,S-func
continue,persist,1,T,T-syn,T,T-syn
contract,car,1,S,S-them,S,S-action
contract,enforceable,1,E,E-prop,E,E-prop
conundrum,problem,1,T,T-syn,T,T-cat
corner,street,1,S,S-loc,E,E-part
corporation,money,1,S,S-them,S,S-func
correct,test,1,S,S-action,S,S-them
correction,fix,1,T,T-syn,T,T-cat
correction,mistake,1,S,S-result,S,S-action
cosmopolitan,modern,1,T,T-syn,T,T-syn
court,judge,4,S,S-loc,S,S-loc
covered,discussed,1,T,T-syn,T,T-syn
covered,umbrella,1,S,S-result,S,S-func
crazy,attack,1,S,S-them,S,S-result
crazy,girl,1,S,S-them,I,I-emo
curvy,sewing,1,S,S-them,S,S-them
curvy,shape,4,E,E-prop,E,E-prop
danger,robot,1,S,S-them,S,S-them
darkness,light,3,T,T-ant,T,T-ant
decipher,code,3,S,S-action,S,S-action
deflate,footballs,1,S,S-action,S,S-action
deluge,torrent,1,T,T-syn,T,T-coord
design,pattern,1,T,T-syn,E,E-prop
detective,columbo,1,T,T-coord,S,S-them
different,same,1,T,T-ant,T,T-ant
different,strange,1,T,T-syn,T,T-syn
dilute,concentration,1,S,S-result,S,S-result
dinner,food,1,T,T-cat,E,E-part
disaster,hurricane,2,T,T-coord,T,T-cat
discourse,conversation,1,T,T-syn,T,T-syn
discriminate,race,1,S,S-action,S,S-preq
discuss,talk,2,T,T-syn,T,T-cat
dollar,cost,1,S,S-them,S,S-action
dollar,earn,1,S,S-them,S,S-action
domestic,home,3,T,T-syn,T,T-syn
dominant,aggressive,1,E,E-prop,E,E-prop
drinking,alcoholic,1,S,S-them,S,S-result
drinking,water,1,S,S-action,S,S-action
driving,permit,1,S,S-preq,S,S-preq
dropping,accident,1,S,S-result,T,T-cat
drove,car,5,S,S-action,S,S-action
education,school,1,T,T-cat,S,S-loc
education,teacher,1,S,S-them,S,S-func
elated,relief,1,I,I-emo,S,S-result
elevated,high,3,T,T-syn,T,T-syn
eliminate,gone,1,T,T-syn,S,S-result
emergency,ambulance,1,S,S-them,S,S-result
enjoy,movie,1,S,S-action,I,I-emo
enjoy,music,1,S,S-them,I,I-emo
evidence,helpful,1,E,E-prop,E,E-prop
evidence,police,2,S,S-them,S,S-action
evidence,proof,1,T,T-syn,T,T-syn
exceed,speed,1,S,S-action,S,S-action
excellent,perfect,1,T,T-syn,T,T-syn
faithful,committed,1,T,T-syn,T,T-coord
faithful,respect,1,E,E-prop,T,T-coord
favor,prefer,4,T,T-syn,T,T-syn
flashlight,bright,1,E,E-prop,E,E-prop
floor,area,1,T,T-syn,E,E-part
floor,hard,1,E,E-prop,E,E-prop
flowing,water,3,S,S-them,S,S-action
flowing,waves,1,S,S-them,E,E-prop
following,after,1,T,T-syn,T,T-syn
following,fans,1,S,S-them,T,T-cat
freedom,independent,1,E,E-prop,T,T-syn
gelatin,dessert,2,E,E-mat,S,S-func
genius,brilliant,1,T,T-syn,E,E-prop
giving,donation,1,T,T-syn,S,S-action
giving,kind,1,E,E-prop,I,I-emo
giving,taking,1,T,T-ant,T,T-ant
glass,break,1,S,S-action,S,S-action
glasses,bifocals,1,T,T-coord,T,T-cat
glittery,bright,1,E,E-prop,E,E-prop
glittery,decorate,1,S,S-them,E,E-prop
glutton,food,1,S,S-them,S,S-action
glutton,overeat,1,S,S-action,E,E-prop
goalie,save,3,S,S-action,S,S-action
goalie,score,1,S,S-action,S,S-func
going,leaving,1,T,T-syn,T,T-syn
going,traveling,1,T,T-syn,T,T-syn
goodness,appraised,1,S,S-action,S,S-action
goodness,benevolence,1,T,T-syn,T,T-syn
grand,large,1,T,T-syn,T,T-syn
grandmother,mom,1,T,T-coord,T,T-cat
grater,cheese,4,S,S-func,S,S-func
green,grass,4,E,E-prop,E,E-prop
greeter,hello,2,S,S-func,S,S-action
grinding,shiny,1,S,S-result,S,S-result
group,people,2,T,T-cat,E,E-part
guess,answer,1,S,S-preq,S,S-action
guess,designer,1,S,S-action,T,T-cat
guess,insufficient,1,S,S-result,S,S-result
guess,unsure,1,T,T-syn,S,S-result
guest,show,1,S,S-them,S,S-loc
gypsy,europe,1,S,S-loc,S,S-loc
gypsy,natalie,1,S,S-them,S,S-action
gypsy,people,1,T,T-coord,T,T-cat
happening,current,1,T,T-syn,S,S-time
happening,flop,1,S,S-them,S,S-them
happening,wahlberg,1,S,S-them,S,S-them
hatch,chicken,1,S,S-action,S,S-action
heaven,god,3,S,S-loc,S,S-loc
hitch,interrupt,1,S,S-result,S,S-action
hitch,problem,1,T,T-syn,S,S-result
holding,carrying,1,T,T-syn,T,T-syn
honey,sweet,1,E,E-prop,E,E-prop
horrified,disgusted,1,T,T-syn,T,T-syn
hotel,brolin,1,S,S-them,S,S-them
hotel,reservations,1,S,S-preq,S,S-action
humane,animals,1,E,E-prop,S,S-them
humane,ethical,1,T,T-syn,T,T-syn
hungry,food,2,S,S-them,S,S-preq
hungry,stomach,3,E,E-prop,S,S-result
hydrate,exercise,1,S,S-preq,S,S-action
idiom,advice,1,S,S-func,S,S-func
idiom,comparison,1,T,T-cat,S,S-func
idiotic,stupid,4,T,T-syn,T,T-syn
igloo,cold,5,E,E-prop,E,E-prop
ignition,car,1,E,E-part,E,E-part
ignition,flames,1,S,S-result,S,S-result
ignition,fuel,1,S,S-preq,S,S-preq
implement,enact,1,T,T-syn,T,T-syn
impossible,achieve,1,S,S-preq,I,I-emo
impossible,cruise,1,S,S-them,S,S-them
impossible,unable,1,T,T-syn,T,T-syn
improbable,impossible,1,T,T-syn,T,T-coord
indecent,exposed,1,S,S-result,S,S-result
information,facts,1,T,T-syn,T,T-cat
instant,hurried,1,T,T-syn,T,T-syn
interest,hobbies,1,T,T-coord,T,T-syn
interested,intrigued,1,T,T-syn,T,T-syn
intuitive,gut,1,E,E-prop,E,E-prop
jacket,fall,1,S,S-time,S,S-time
jungle,exotic,1,E,E-prop,E,E-prop
junior,schwarzenegger,1,T,T-coord,S,S-them
laughter,kids,1,S,S-them,S,S-action
laughter,playground,1,S,S-loc,S,S-loc
leaves,autumn,3,S,S-loc,S,S-time
leaving,denver,1,S,S-loc,S,S-them
legal,case,1,S,S-them,E,E-prop
lesson,learn,2,S,S-func,S,S-action
liberty,freedom,2,T,T-syn,T,T-syn
lieutenant,army,3,T,T-cat,E,E-part
lieutenant,officer,1,T,T-coord,T,T-cat
lieutenant,substitute,1,T,T-syn,S,S-func
listening,friend,1,S,S-them,S,S-action
lobby,space,1,T,T-coord,T,T-cat
lonely,alone,2,T,T-syn,I,I-emo
lonely,depressed,1,T,T-syn,S,S-result
loosen,release,1,T,T-syn,S,S-result
lord,god,3,T,T-coord,T,T-syn
lover,doris,1,S,S-them,S,S-them
lover,simon,1,S,S-them,S,S-them
loving,caretaker,1,E,E-prop,I,I-emo
loving,tender,1,T,T-syn,T,T-coord
magazine,celebrities,1,S,S-them,S,S-loc
magazine,vogue,1,T,T-coord,T,T-cat
majority,most,1,T,T-syn,T,T-syn
makeup,beautiful,1,S,S-result,S,S-func
makeup,colorful,1,E,E-prop,E,E-prop
melted,chocolate,3,E,E-prop,S,S-action
memory,mind,1,E,E-part,E,E-part
miles,distance,3,T,T-syn,S,S-them
military,army,4,T,T-syn,E,E-part
millions,money,3,T,T-cat,S,S-them
misguided,wrong,1,T,T-syn,T,T-syn
mommy,child,1,T,T-cat,S,S-them
mommy,daddy,1,T,T-coord,T,T-coord
month,july,1,T,T-coord,T,T-cat
mountain,fuji,1,T,T-coord,T,T-cat
movie,scripted,1,E,E-prop,E,E-prop
moving,poignant,1,T,T-syn,T,T-syn
nature,beautiful,1,E,E-prop,E,E-prop
necessary,needed,3,T,T-syn,T,T-syn
obedient,listens,1,E,E-prop,S,S-preq
obstruct,plan,1,S,S-action,S,S-action
operator,phone,1,S,S-func,S,S-them
operator,sade,1,S,S-them,S,S-them
operator,user,1,T,T-syn,T,T-syn
opinion,disagreement,1,S,S-result,S,S-result
order,fries,1,S,S-action,S,S-action
organization,company,1,T,T-syn,T,T-syn
outspoken,loud,1,T,T-syn,E,E-prop
outspoken,vehement,1,T,T-syn,E,E-prop
overdue,book,1,S,S-them,S,S-time
overdue,fine,1,S,S-result,S,S-result
paper,plastic,1,T,T-coord,T,T-coord
passing,another,1,S,S-action,S,S-action
passing,cautious,1,S,S-them,S,S-action
patient,hospital,1,S,S-loc,S,S-loc
payment,money,3,T,T-cat,S,S-func
pensive,elderly,1,T,T-coord,E,E-prop
permission,allow,1,S,S-preq,T,T-syn
permission,grant,1,S,S-action,S,S-action
permission,school,1,S,S-preq,S,S-preq
permission,songs,1,S,S-them,S,S-preq
permission,warrant,1,T,T-syn,S,S-result
pharmacy,drugs,3,T,T-cat,S,S-loc
piece,whole,1,E,E-part,E,E-part
plague,death,1,S,S-result,S,S-result
planet,pluto,1,T,T-coord,T,T-cat
platypus,eggs,1,E,E-part,S,S-action
plea,beg,2,T,T-syn,T,T-syn
pocket,wallet,4,T,T-coord,S,S-loc
poison,dangerous,1,E,E-prop,E,E-prop
politics,republicans,1,T,T-cat,T,T-cat
position,job,1,T,T-syn,T,T-syn
position,second,1,T,T-coord,S,S-them
position,third,1,T,T-coord,T,T-cat
possibility,anything,1,T,T-syn,S,S-result
possibility,choose,1,S,S-preq,S,S-action
possibility,face,1,T,T-coord,S,S-action
possibility,odds,1,T,T-coord,S,S-them
possible,can,1,T,T-syn,T,T-syn
possible,chance,1,T,T-syn,T,T-syn
possible,could,1,T,T-syn,S,S-preq
possible,viable,1,T,T-syn,T,T-syn
powder,face,1,S,S-loc,S,S-loc
pray,church,3,S,S-loc,S,S-loc
prepared,plan,1,S,S-preq,S,S-result
pressure,constraint,1,S,S-result,S,S-result
priest,religious,1,E,E-prop,E,E-prop
princess,daughter,1,T,T-coord,T,T-cat
printer,cartridge,1,E,E-part,E,E-part
printer,ink,4,E,E-part,E,E-part
priority,concern,1,T,T-syn,T,T-syn
priority,rush,1,S,S-them,S,S-preq
profit,money,1,T,T-coord,T,T-cat
prohibition,denied,1,S,S-result,S,S-action
promise,keep,3,S,S-action,S,S-action
promote,good,1,S,S-result,S,S-preq
promote,higher,1,S,S-result,S,S-result
protect,rights,1,S,S-func,S,S-func
prove,theory,1,S,S-action,S,S-action
publicity,celebrity,1,T,T-coord,S,S-them
publicity,press,1,S,S-them,S,S-func
pulse,heart,1,E,E-part,S,S-func
purpose,meaning,1,T,T-syn,T,T-syn
purpose,reason,1,T,T-syn,T,T-syn
quick,fast,1,T,T-syn,T,T-syn
quick,time,1,S,S-time,S,S-time
radar,speeding,1,S,S-them,S,S-func
radioactive,atoms,1,E,E-mat,S,S-result
radioactive,energy,1,S,S-result,E,E-prop
radioactive,nuclear,1,T,T-syn,E,E-prop
raspberry,jam,1,E,E-part,E,E-mat
rational,smart,1,T,T-syn,E,E-prop
ready,start,1,T,T-syn,S,S-time
ready,time,1,S,S-time,S,S-time
realistic,pragmatic,1,T,T-syn,T,T-syn
reality,fantasy,1,T,T-ant,T,T-ant
reality,living,1,T,T-syn,S,S-action
reason,accept,1,S,S-action,S,S-action
reason,persuade,1,S,S-action,S,S-preq
record,audio,1,S,S-func,E,E-part
refreshment,drink,2,T,T-syn,T,T-cat
refreshment,water,1,T,T-cat,T,T-cat
refuge,safe,1,T,T-syn,S,S-preq
refuge,security,1,E,E-prop,T,T-syn
reign,king,1,S,S-them,S,S-func
reign,subjects,1,S,S-them,S,S-action
report,sound,1,S,S-action,E,E-prop
responsible,adult,1,E,E-prop,E,E-prop
restaurant,food,4,S,S-loc,S,S-loc
restaurant,gather,1,S,S-loc,S,S-loc
retrospect,past,1,T,T-syn,S,S-time
review,evaluate,1,T,T-syn,T,T-syn
roller,spin,1,S,S-action,S,S-func
round,circle,1,T,T-syn,E,E-prop
running,race,2,S,S-them,S,S-action
runny,mucus,1,E,E-prop,E,E-prop
safe,fearless,1,T,T-ant,S,S-result
safe,relieved,1,I,I-emo,S,S-result
salad,dressing,2,S,S-them,S,S-them
salsa,spicy,1,E,E-prop,E,E-prop
sandpaper,wood,1,S,S-func,S,S-func
saving,money,4,S,S-action,S,S-action
savior,christ,1,T,T-coord,T,T-cat
scared,ghost,1,S,S-them,I,I-emo
scared,murder,1,S,S-them,I,I-emo
scout,evaluate,1,S,S-func,S,S-func
scout,investigate,1,S,S-action,T,T-syn
scrap,rid,1,T,T-syn,T,T-syn
senator,party,1,T,T-coord,E,E-part
senator,vote,1,S,S-action,S,S-action
sending,receiving,1,S,S-them,T,T-ant
series,string,1,T,T-coord,E,E-part
shadowy,dark,1,T,T-syn,E,E-prop
shady,sneaky,1,T,T-syn,T,T-syn
shady,tree,1,S,S-loc,S,S-result
shaker,pepper,1,E,E-part,S,S-loc
shape,condition,1,T,T-syn,T,T-syn
shark,teeth,2,E,E-part,E,E-part
shrivel,wither,1,T,T-syn,S,S-result
shrubbery,garden,1,T,T-coord,S,S-loc
signal,indication,1,T,T-syn,T,T-syn
signal,inform,1,S,S-action,S,S-func
signal,react,1,S,S-result,S,S-result
silver,utensils,1,E,E-mat,E,E-prop
simple,living,1,S,S-them,S,S-them
single,one,1,T,T-syn,T,T-syn
singular,one,3,T,T-syn,T,T-syn
sister,daughter,1,T,T-coord,T,T-coord
skill,hobby,1,T,T-coord,S,S-result
skill,sports,1,T,T-cat,S,S-them
skunk,smell,6,E,E-prop,E,E-prop
sling,long,1,E,E-prop,E,E-prop
sling,support,1,S,S-func,S,S-func
soldier,billy,1,T,T-coord,S,S-them
soldier,fighter,1,T,T-syn,T,T-cat
soldier,tomb,1,S,S-loc,S,S-loc
space,stars,3,T,T-cat,E,E-part
special,interesting,1,T,T-syn,T,T-syn
special,unique,1,T,T-syn,T,T-syn
spotted,leopard,1,E,E-prop,E,E-prop
stairs,floors,1,E,E-part,E,E-part
stall,car,1,S,S-loc,S,S-action
stance,posture,1,T,T-syn,T,T-syn
standing,feet,1,E,E-part,S,S-result
standing,posture,1,E,E-prop,S,S-result
starting,show,1,S,S-preq,S,S-action
steady,endurance,1,T,T-syn,S,S-preq
steady,race,1,S,S-them,S,S-action
steady,stable,1,T,T-syn,T,T-syn
stick,match,1,T,T-coord,E,E-prop
store,purchase,1,S,S-loc,S,S-loc
story,author,1,T,T-cat,S,S-func
strand,thread,1,T,T-syn,E,E-part
strategic,calculated,1,T,T-syn,T,T-syn
strategic,tactical,1,T,T-syn,T,T-syn
summer,hot,4,E,E-prop,E,E-prop
support,politician,1,S,S-them,S,S-action
supportive,helpful,1,T,T-syn,T,T-syn
surpass,beyond,3,S,S-result,T,T-syn
surpass,excel,1,T,T-syn,T,T-syn
surprise,birthday,1,S,S-them,S,S-time
tablet,ipad,1,T,T-coord,T,T-cat
tactful,conversation,1,S,S-them,S,S-action
tactful,words,1,S,S-them,S,S-preq
temptation,dessert,1,S,S-them,I,I-emo
thousand,million,1,T,T-coord,T,T-coord
thousand,money,3,T,T-cat,S,S-them
throat,sore,1,E,E-prop,E,E-prop
tired,feel,1,I,I-emo,I,I-emo
tired,work,1,S,S-preq,S,S-result
total,all,1,T,T-syn,T,T-syn
tradition,jimmy,1,S,S-them,S,S-them
trial,verdict,1,T,T-coord,S,S-result
truth,honest,1,T,T-syn,T,T-syn
twist,cap,1,S,S-action,S,S-action
understand,language,1,S,S-preq,S,S-action
utilize,advantage,1,S,S-func,S,S-action
vacation,chevy,1,S,S-them,S,S-them
vacuum,noisy,1,E,E-prop,E,E-prop
vampire,sharp,1,E,E-prop,E,E-prop
vampire,sunlight,1,S,S-preq,S,S-them
vegetation,food,1,E,E-mat,S,S-func
vegetation,water,1,E,E-mat,S,S-preq
violate,breach,1,T,T-syn,T,T-syn
vivid,bright,1,T,T-syn,E,E-prop
volcano,helens,1,T,T-coord,T,T-cat
waste,bad,1,T,T-syn,I,I-emo
waste,money,1,S,S-action,S,S-action
weekend,break,1,S,S-time,S,S-time
weekend,yardwork,1,S,S-time,S,S-time
weeping,sad,3,E,E-prop,S,S-result
weirdo,unique,1,T,T-syn,E,E-prop
woman,breasts,1,E,E-part,E,E-part
woman,pregnancy,1,S,S-them,E,E-prop
wonder,awe,1,I,I-emo,T,T-syn
wonder,contemplate,1,T,T-syn,T,T-syn
working,computer,1,S,S-them,S,S-func
worried,scared,1,T,T-syn,T,T-syn
worry,weather,1,S,S-them,I,I-emo
wounds,heal,1,S,S-result,S,S-action
wrath,punishment,1,S,S-result,I,I-emo
writing,book,4,S,S-action,S,S-action
writing,essay,1,S,S-func,S,S-action
yelling,loud,1,E,E-prop,E,E-prop
